Study,Gene,Weight
DEE4X H1N1,IPP,12.816389226533
DEE4X H1N1,NAA40,12.3396962125678
DEE4X H1N1,PEX7,10.6701013345981
DEE4X H1N1,PUS7,9.24655851852169
DEE4X H1N1,LZTS3,7.18418352713322
DEE4X H1N1,HMBS,6.34871469622691
DEE4X H1N1,AGAP1,5.76315029372241
DEE4X H1N1,SBNO1,5.43738093585232
DEE4X H1N1,TPM1,5.25860863913367
DEE4X H1N1,DACT1,5.20503886173631
DEE4X H1N1,HLA-DPA1,5.10781178807711
DEE4X H1N1,ATP4A,4.99336273422444
DEE4X H1N1,RAD51C,4.97155410653777
DEE4X H1N1,ARHGAP24,4.67777927811168
DEE4X H1N1,ADI1,4.48395160678062
DEE4X H1N1,HSPA6,4.31737943249647
DEE4X H1N1,APOBEC3G,4.17882759228987
DEE4X H1N1,KLF11,4.15768152144812
DEE4X H1N1,EGFL6,4.03851833031755
DEE4X H1N1,TTTY15,3.8825012351112
DEE4X H1N1,TOB2,3.83771812223145
DEE4X H1N1,NSUN6,3.80847020696072
DEE4X H1N1,TNFRSF21,3.50766797071056
DEE4X H1N1,ECHDC3,3.49188018939994
DEE4X H1N1,ZWILCH,3.16392515747255
DEE4X H1N1,TPP2,3.0950566194468
DEE4X H1N1,VASH1,3.09395590515314
DEE4X H1N1,CAMKK2,3.01623845534252
DEE4X H1N1,VDR,2.92965290630243
DEE4X H1N1,FSCN1,2.90257485459232
DEE4X H1N1,JAM3,2.49114757535288
DEE4X H1N1,TIMP1,2.46483151638081
DEE4X H1N1,TMEM8A,2.45164087375663
DEE4X H1N1,ADAM17,2.39145075837002
DEE4X H1N1,FAM13A,2.15404184180551
DEE4X H1N1,HP,2.07337261987723
DEE4X H1N1,GPX2,1.96868234745925
DEE4X H1N1,KLRG1,1.89319141660524
DEE4X H1N1,CDKAL1,1.83840360549257
DEE4X H1N1,SLC15A2,1.67013892364146
DEE4X H1N1,TCAF1,1.64389554872863
DEE4X H1N1,ANKRD55,1.60911993256771
DEE4X H1N1,MYO1D,1.40168755479322
DEE4X H1N1,HEBP1,1.34027048509948
DEE4X H1N1,CFD,1.26364450066311
DEE4X H1N1,CHI3L1,1.24996039946167
DEE4X H1N1,KIZ,1.24872905974207
DEE4X H1N1,RNFT2,1.19485435662212
DEE4X H1N1,MAP3K6,1.17167346536519
DEE4X H1N1,EGF,1.1619393736458
DEE4X H1N1,RRN3P1,1.14121756172815
DEE4X H1N1,GPR25,1.08946753740768
DEE4X H1N1,STAT6,1.05927613641242
DEE4X H1N1,NOV,1.02673961792749
DEE4X H1N1,IGFBP7,0.949730896029307
DEE4X H1N1,PRKAR2B,0.948805232167995
DEE4X H1N1,FECH,0.918337899581226
DEE4X H1N1,LOC647070,0.89988889789496
DEE4X H1N1,DSC2,0.847637429974602
DEE4X H1N1,AQP9,0.798207948166001
DEE4X H1N1,KLHDC10,0.79106434970425
DEE4X H1N1,CCL5,0.739967632209268
DEE4X H1N1,CDC42BPA,0.732202277958792
DEE4X H1N1,FZD2,0.667953250033207
DEE4X H1N1,SNX16,0.646772755233821
DEE4X H1N1,AFAP1,0.645969321305739
DEE4X H1N1,LARP4B,0.620266725685908
DEE4X H1N1,BRCA2,0.581968867955415
DEE4X H1N1,LOXL1,0.559042252516194
DEE4X H1N1,GNL3L,0.494337363017505
DEE4X H1N1,AOC1,0.460352578381896
DEE4X H1N1,ELANE,0.440587916088279
DEE4X H1N1,STYK1,0.434351280326215
DEE4X H1N1,PF4V1,0.423210145805694
DEE4X H1N1,LINC00339,0.418491735067628
DEE4X H1N1,MED16,0.399771279187422
DEE4X H1N1,SFRP1,0.369897999581521
DEE4X H1N1,NCAPG2,0.325882723625351
DEE4X H1N1,DAAM2,0.306191949271607
DEE4X H1N1,PPP2R2B,0.247410410721618
DEE4X H1N1,NLRP2,0.23939271173092
DEE4X H1N1,RUNX3,0.231830302564616
DEE4X H1N1,TGFBR3,0.223797032497295
