,x
Intercept,0.94227432
X34858_at,0.370461479
X220486_x_at,0.127968425
X218161_s_at,0.120208402
X220037_s_at,0.117443735
X47105_at,0.116295882
X212599_at,0.114991012
X218066_at,0.114045771
X221259_s_at,0.113383636
X62212_at,0.11038218
X207194_s_at,0.108776699
X202877_s_at,0.031945345
X212762_s_at,0.026382475
X213800_at,0.023026387
X218544_s_at,0.021068261
X201348_at,0.019145567
X212757_s_at,0.018664443
X207901_at,0.017386384
X221422_s_at,0.01738171
X214209_s_at,0.017251597
X214639_s_at,0.016928297
X216298_at,0.016197439
X212524_x_at,0.01555853
X220085_at,0.015429998
X213742_at,0.015360427
X210917_at,0.015056908
X200951_s_at,0.015025191
X209642_at,0.014840775
X202746_at,0.014471112
X201341_at,0.014324476
X207892_at,0.013926146
X219506_at,0.01355626
X208147_s_at,0.013314325
X211038_s_at,0.013284823
X211560_s_at,0.013045866
X219521_at,0.013007702
X216879_at,0.013000967
X205821_at,0.012099879
X212627_s_at,0.011543148
X219330_at,0.011161729
X221992_at,0.010987794
X211469_s_at,0.01090466
X203395_s_at,0.010539143
X218456_at,0.010414361
X206481_s_at,0.009992562
X205357_s_at,0.009754972
X219588_s_at,0.009240713
X217976_s_at,0.009015984
X213753_x_at,0.008907642
AFFX.TrpnX.3_at,0.00881375
X207337_at,0.008812931
X210912_x_at,0.008753451
X203373_at,0.008695075
X205997_at,0.008560989
X212282_at,0.008176651
X210612_s_at,0.008025129
X214079_at,0.007741254
X207022_s_at,0.007631416
X211037_s_at,0.007464517
X203139_at,0.007236893
X211728_s_at,0.007218996
X210170_at,0.00698809
X214430_at,0.006984411
X210949_s_at,0.006659652
X219496_at,0.006535754
X221239_s_at,0.006378029
X221683_s_at,0.006233164
X219577_s_at,0.006218321
X59697_at,0.006163137
X205591_at,0.006080956
X211362_s_at,0.005879377
X218546_at,0.005823929
X220892_s_at,0.005784026
X214696_at,0.005709422
X219044_at,0.005639533
X216828_at,0.005566804
X212987_at,0.005446765
X202718_at,0.005421134
X218086_at,0.005209218
X214734_at,0.005107894
X218365_s_at,0.005093008
X215652_at,0.004987125
X201113_at,0.004864359
X209706_at,0.00469492
X215911_x_at,0.00464401
X219587_at,0.004631911
X220651_s_at,0.004551129
X35820_at,0.004517333
X212183_at,0.004454179
X216627_s_at,0.004310186
X218584_at,0.004282047
X218564_at,0.004186508
X220784_s_at,0.004113292
X203559_s_at,0.004027998
X219298_at,0.003931313
X219179_at,0.0039167
X220885_s_at,0.003389595
X208903_at,0.003055338
X201827_at,0.002791823
X205499_at,0.002726834
X206791_s_at,0.002625187
X220949_s_at,0.002567597
X210747_at,0.002541444
X214822_at,0.002426756
X211356_x_at,0.002406295
X220302_at,0.002253145
X209581_at,0.002184548
X208208_at,0.002056866
X219905_at,0.001992157
X206861_s_at,0.001975537
X212169_at,0.001958903
X222135_at,0.001897271
X201847_at,0.001829264
X208641_s_at,0.001761247
X209062_x_at,0.001156153
X205991_s_at,0.001118384
X205382_s_at,0.001095098
X209918_at,0.001042541
X201883_s_at,0.00097247
X205671_s_at,0.00075899
X217652_at,0.000728753
X219629_at,0.000541575
X212276_at,0.000524914
X44040_at,7.61E-05
X214702_at,-0.000273647
X215822_x_at,-0.0005933
X220122_at,-0.000602055
X208470_s_at,-0.000947126
X218063_s_at,-0.00104403
X217131_at,-0.001101441
X200647_x_at,-0.001238174
X212805_at,-0.001291337
X215108_x_at,-0.001408753
X220523_at,-0.001506811
X217212_s_at,-0.001614009
X219251_s_at,-0.001748918
X205609_at,-0.001911597
X219837_s_at,-0.002069047
X210055_at,-0.002105876
X207350_s_at,-0.002203929
X208996_s_at,-0.002289603
X216034_at,-0.002324797
X218454_at,-0.002374554
X222370_x_at,-0.002389633
X214355_x_at,-0.002396989
X215345_x_at,-0.002452199
X205222_at,-0.002616381
X205635_at,-0.002820191
X219763_at,-0.002998308
X219205_at,-0.003007113
