,x
Intercept,0.943451533
X218399_s_at,0.566770534
X217889_s_at,0.475676052
X215298_at,0.182823982
X205980_s_at,0.181286377
X210353_s_at,0.169536822
X217359_s_at,0.169351135
X216753_at,0.100236152
X217524_x_at,0.09879893
X220393_at,0.098542253
X207119_at,0.097633102
X217477_at,0.094811724
X213447_at,0.093723492
X206615_s_at,0.091215898
X204755_x_at,0.090656001
X221927_s_at,0.090573163
X206376_at,0.090415748
X208903_at,0.090367524
X203997_at,0.088464272
X214765_s_at,0.088457022
X214206_at,0.088188375
X211371_at,0.088109045
X217267_s_at,0.087530625
X220810_at,0.087445095
X214078_at,0.08729558
X203979_at,0.086289848
X220327_at,0.085437283
X213162_at,0.084847859
X205148_s_at,0.084533665
X212448_at,0.083709745
X212067_s_at,0.083626685
X207542_s_at,0.083280844
X37117_at,0.081898432
X216279_at,0.07982362
X218804_at,0.079236918
X205165_at,0.077096543
X220476_s_at,0.076341252
X207437_at,0.069309079
X209277_at,0.067897936
X207572_at,0.013383155
X219267_at,0.013264076
X222234_s_at,0.010650606
X214593_at,0.010402057
X202154_x_at,0.009646012
X216786_at,0.009516495
X41660_at,0.008879302
X208029_s_at,0.007865092
X203921_at,0.007856249
X214890_s_at,0.007309846
X213920_at,0.006462112
X206962_x_at,0.006381432
X203940_s_at,0.005175595
X206069_s_at,0.005171124
X205525_at,0.00491237
X201141_at,0.004854146
X209013_x_at,0.004426286
X221583_s_at,0.003932292
X203887_s_at,0.003755593
X204989_s_at,0.003614894
X216894_x_at,0.003347957
X205765_at,0.003157304
X213836_s_at,0.003093164
X211560_s_at,0.002958237
X209952_s_at,0.002952338
X206999_at,0.002789567
X217901_at,0.002083879
X217761_at,0.002016771
X214378_at,0.001805567
X207741_x_at,0.001752589
X209470_s_at,0.001360404
X206386_at,0.001219799
X214586_at,0.001154756
X211773_s_at,0.000985243
X206664_at,0.000926845
X204296_at,0.000926237
X202921_s_at,0.000890148
X216628_at,0.0008386
X204756_at,0.000826294
X219655_at,0.000719516
X215175_at,0.000642261
X215815_at,0.000630952
X210704_at,0.000346022
X44040_at,0.000298622
X219453_at,0.00028904
X213635_s_at,-0.000184382
X209686_at,-0.000337032
X205160_at,-0.000426973
X207986_x_at,-0.000429087
X204221_x_at,-0.00048559
X206089_at,-0.000490253
X37966_at,-0.000518164
X205421_at,-0.000646917
X206536_s_at,-0.000657245
X213599_at,-0.000858573
X215652_at,-0.000929468
X209396_s_at,-0.001049475
X206391_at,-0.001117882
X221644_s_at,-0.001253448
X211546_x_at,-0.001410366
X214999_s_at,-0.00150971
X209279_s_at,-0.001516219
X205888_s_at,-0.001537624
X212328_at,-0.00155111
X220280_s_at,-0.001553746
X220278_at,-0.001726422
X217263_x_at,-0.001760083
X216653_at,-0.001909662
X213800_at,-0.001939122
X220177_s_at,-0.002006638
X220359_s_at,-0.002024859
X218584_at,-0.002031862
X213831_at,-0.002045785
X217585_at,-0.002073181
X205330_at,-0.002158897
X207325_x_at,-0.002483679
X206379_at,-0.002872542
X209875_s_at,-0.002883757
X221029_s_at,-0.003026818
X210491_at,-0.003236366
X203018_s_at,-0.003264429
X214382_at,-0.003315535
X201155_s_at,-0.003449698
X205905_s_at,-0.003494995
X210390_s_at,-0.003615928
X215924_at,-0.003759661
X214229_at,-0.003765836
X33646_g_at,-0.00378924
X221261_x_at,-0.003820593
X205381_at,-0.004147114
X207337_at,-0.004219621
X210047_at,-0.004317447
X217628_at,-0.004468676
X216463_at,-0.004502566
X206940_s_at,-0.004518187
X219638_at,-0.004569804
X201953_at,-0.004758203
X211601_at,-0.004814808
X217366_at,-0.004895433
X220540_at,-0.004980736
X209583_s_at,-0.005118115
X203367_at,-0.005416463
X207703_at,-0.005635273
X218925_s_at,-0.00569583
X220389_at,-0.005742652
X207539_s_at,-0.005811779
X213029_at,-0.00604743
X217065_at,-0.006117625
X204955_at,-0.006319072
X216008_s_at,-0.006417515
X211455_at,-0.006539677
X206423_at,-0.006611108
X212228_s_at,-0.006634943
X205892_s_at,-0.007019276
X204706_at,-0.007078419
X216567_at,-0.007288713
X205114_s_at,-0.007595117
X203373_at,-0.007607299
X215081_at,-0.007777301
X219905_at,-0.007787101
X217481_x_at,-0.007920376
X207523_at,-0.007983323
X215335_at,-0.008012382
X219301_s_at,-0.008030174
X215959_at,-0.008510839
X205868_s_at,-0.008520508
X211736_at,-0.008581504
X218815_s_at,-0.008637462
X205336_at,-0.008649728
X209097_s_at,-0.008940575
X215255_at,-0.009042406
X205846_at,-0.009137738
X217330_at,-0.00923232
X204456_s_at,-0.009313548
X216627_s_at,-0.009366511
X215469_at,-0.009398846
X202481_at,-0.00942496
X220523_at,-0.009443088
X201421_s_at,-0.009745444
X218055_s_at,-0.009803341
X204475_at,-0.009914277
X221828_s_at,-0.009921779
X212356_at,-0.009932042
X211791_s_at,-0.009941019
X205039_s_at,-0.010070059
X205821_at,-0.010077637
X204815_s_at,-0.01010429
X217460_at,-0.010215082
X205303_at,-0.010422762
X211753_s_at,-0.010612432
X37020_at,-0.010633672
X216853_x_at,-0.010982209
X209372_x_at,-0.010982712
X215237_at,-0.011062762
X217382_at,-0.011077033
X204846_at,-0.011086998
X221223_x_at,-0.011351683
X206516_at,-0.011666894
X220549_at,-0.01169061
X222254_at,-0.011992095
X216604_s_at,-0.012197485
X204388_s_at,-0.012318219
X209789_at,-0.012328126
X211011_at,-0.012781611
X212464_s_at,-0.013395389
X202035_s_at,-0.013623354
X203814_s_at,-0.013897943
X214624_at,-0.014069404
X207706_at,-0.014239403
X215428_at,-0.014343493
X218656_s_at,-0.014746229
X208906_at,-0.014935705
X208514_at,-0.015558855
X216946_at,-0.015605157
X207481_at,-0.015806946
X217796_s_at,-0.016015609
X211634_x_at,-0.016578292
X221148_at,-0.017632034
X219983_at,-0.019484456
X206835_at,-0.019899085
X210928_at,-0.020744114
X207385_at,-0.020910152
X215074_at,-0.021029167
X217000_at,-0.021480003
X209111_at,-0.022626294
X214286_at,-0.027090939
