Probe,Score
X209785_s_at,0.03407247
X222196_at,0.032059279
X220784_s_at,0.031846768
X209686_at,0.028248718
X202286_s_at,0.027838617
X213831_at,0.027509508
X209789_at,0.025981465
X205039_s_at,0.024830353
X215652_at,0.024681003
X204141_at,0.02455239
X215666_at,0.023754096
X216901_s_at,0.023740765
X209875_s_at,0.02371249
X222315_at,0.023264628
X221690_s_at,0.0224464
X203887_s_at,0.022401732
X209723_at,0.021767029
X204006_s_at,0.020978553
X213655_at,0.020831809
X209395_at,0.020679323
X205229_s_at,0.020304736
X215175_at,0.020300688
X212509_s_at,0.02029697
X203888_at,0.020295189
X201143_s_at,0.020268381
X216627_s_at,0.020246263
X221634_at,0.01998605
X217295_at,0.019973958
X209396_s_at,0.019942577
X203231_s_at,0.01986941
X205826_at,0.019782429
X208470_s_at,0.019501269
X220122_at,0.018993896
X220068_at,0.018937629
X201123_s_at,0.018822141
X220785_at,0.018708731
AFFX.M27830_5_at,0.018681047
X204848_x_at,0.018518354
X219737_s_at,0.018144335
X202411_at,0.018112338
X221874_at,0.018050837
X205382_s_at,0.017840221
X219588_s_at,0.017789262
X222027_at,0.017491923
X212224_at,0.017170669
X209995_s_at,0.017055064
X204419_x_at,0.01672554
X203961_at,0.01671401
X204007_at,0.016704356
X215206_at,0.016532382
X203029_s_at,0.016404196
X203936_s_at,0.01638007
X212592_at,0.016326811
X204506_at,0.016319043
X220000_at,0.016131081
X217418_x_at,0.01592604
X210401_at,0.015862684
X207269_at,0.015839055
X39318_at,0.015652133
X208151_x_at,0.015635061
X210136_at,0.015606715
X217422_s_at,0.015487672
X218546_at,0.015325822
X216016_at,0.015225062
X210073_at,0.01513501
X203096_s_at,0.015094359
X206632_s_at,0.015044691
X207815_at,0.015025798
X210356_x_at,0.014913341
X208054_at,0.014847119
X222139_at,0.014661925
X220370_s_at,0.014630262
X206697_s_at,0.014602936
X213396_s_at,0.014558907
X222281_s_at,0.014539079
X205671_s_at,0.014400339
X222313_at,0.014395462
X206302_s_at,0.014387767
X209911_x_at,0.014284964
X212585_at,0.014217744
X204083_s_at,0.01419169
X210448_s_at,0.014167882
X215838_at,0.014093024
X205425_at,0.014009477
X207167_at,0.013979696
X216894_x_at,0.013948442
X207324_s_at,0.013921073
X214973_x_at,0.013892905
X208650_s_at,0.013867772
X215211_at,0.013845952
X221491_x_at,0.013818272
X208719_s_at,0.013810096
X205041_s_at,0.013767014
X206785_s_at,0.013759917
X219629_at,0.013664021
X217712_at,0.013597308
X206026_s_at,0.013566723
X220575_at,0.013566392
X213348_at,0.013528519
X219659_at,0.013474114
X204971_at,0.013421649
X215214_at,0.013412975
X216510_x_at,0.013380892
X202705_at,0.013328273
X208651_x_at,0.013286011
X209771_x_at,0.01326715
X205692_s_at,0.013222271
X209583_s_at,0.013201226
X209480_at,0.013168975
X201137_s_at,0.013166399
X217427_s_at,0.013163806
X266_s_at,0.013160871
X220112_at,0.013152116
X216379_x_at,0.013097782
X211546_x_at,0.013056169
X214755_at,0.013044342
X219389_at,0.012938255
X218856_at,0.012918184
X210790_s_at,0.012916202
X212762_s_at,0.012886357
X212952_at,0.012825367
X213439_x_at,0.01280922
X208920_at,0.012768308
X211631_x_at,0.012726748
X201874_at,0.012711236
X203178_at,0.012664299
X207741_x_at,0.012628735
X205844_at,0.012605265
X214450_at,0.012601163
X206760_s_at,0.012470134
X203030_s_at,0.012454896
X204963_at,0.012419548
X210210_at,0.012415372
X201733_at,0.012302777
X202378_s_at,0.012302238
X206303_s_at,0.012298337
X214039_s_at,0.012274136
X203628_at,0.012173638
X213005_s_at,0.012162664
X218857_s_at,0.012161006
X221239_s_at,0.012106629
X214996_at,0.012085745
X215877_at,0.012074773
X213998_s_at,0.01202475
X219267_at,0.011983886
X216733_s_at,0.011969643
X215150_at,0.011922825
X203088_at,0.011872716
X204664_at,0.011845564
X215483_at,0.011844629
X207067_s_at,0.011832471
X210029_at,0.011829576
X213183_s_at,0.011778682
X215092_s_at,0.011753939
X205040_at,0.011718279
X214850_at,0.011698131
X210491_at,0.011690068
X203548_s_at,0.011665391
X206483_at,0.011635322
X210594_x_at,0.011598659
X202718_at,0.011593719
X214218_s_at,0.011517539
X218055_s_at,0.011511096
X220476_s_at,0.011510179
X213624_at,0.011475822
X202028_s_at,0.011470863
X219044_at,0.011459724
X216205_s_at,0.011453483
X209642_at,0.011352472
X218865_at,0.011323803
X206025_s_at,0.011306099
X208487_at,0.01127941
X215589_at,0.011261131
X219330_at,0.011260278
X210969_at,0.011259146
X216110_x_at,0.011212779
X222211_x_at,0.011193784
X214686_at,0.01115109
X207329_at,0.011148283
X219534_x_at,0.011136924
X218584_at,0.011071126
X215555_at,0.011070256
X203958_s_at,0.011065421
X211560_s_at,0.011062044
X204581_at,0.011033075
X214136_at,0.011014259
X202878_s_at,0.011000052
X211996_s_at,0.010987504
X218340_s_at,0.010947878
X205160_at,0.010929546
X221529_s_at,0.010925401
X209840_s_at,0.010905199
X221261_x_at,0.010887132
X219577_s_at,0.010878846
X203243_s_at,0.010816902
X204004_at,0.010809449
X203979_at,0.010799527
X201163_s_at,0.010770854
X217299_s_at,0.010753235
X206167_s_at,0.010735089
X220765_s_at,0.010731209
X210087_s_at,0.010720995
X205261_at,0.010678022
X213515_x_at,0.010652488
X216412_x_at,0.010638288
X221286_s_at,0.010620166
X221986_s_at,0.010607606
X210612_s_at,0.010602584
X203962_s_at,0.010573049
X206114_at,0.010571242
X207496_at,0.010560612
X201015_s_at,0.010558647
X205863_at,0.010552192
X205049_s_at,0.010531407
X210828_s_at,0.010523028
X218207_s_at,0.010522973
X201058_s_at,0.010521101
X209262_s_at,0.01051935
X208451_s_at,0.010517383
X217761_at,0.010512081
X205809_s_at,0.010501992
X215376_at,0.010501344
X219519_s_at,0.010479277
X205420_at,0.010470195
X209392_at,0.010464063
X203790_s_at,0.01045345
X213534_s_at,0.01044305
X221705_s_at,0.010433466
X220609_at,0.010428049
X206700_s_at,0.01041476
X203502_at,0.010400477
X204466_s_at,0.010399068
X207827_x_at,0.0103934
X213172_at,0.010380675
X214874_at,0.01037127
X214012_at,0.010365285
X220500_s_at,0.010363986
X205980_s_at,0.010362267
X221053_s_at,0.01034971
X215133_s_at,0.010348714
X207111_at,0.010331025
X214583_at,0.010314115
X216902_s_at,0.010305146
X218543_s_at,0.010288148
X208159_x_at,0.010281788
X208727_s_at,0.010264941
X207075_at,0.01025582
X209527_at,0.010255017
X202218_s_at,0.010253358
X220946_s_at,0.010229722
X212013_at,0.010217619
X208179_x_at,0.010159476
X212183_at,0.010138758
X222111_at,0.010137503
X214541_s_at,0.010133637
X203541_s_at,0.01012981
X207979_s_at,0.010126281
X205560_at,0.010125853
X215692_s_at,0.010124034
X212382_at,0.010122962
X211397_x_at,0.010114505
X210409_at,0.010108113
X210758_at,0.010101835
X221969_at,0.010061299
X208498_s_at,0.010056745
X205463_s_at,0.010045484
X209398_at,0.010036717
X209108_at,0.010022493
X216748_at,0.010002307
X216035_x_at,0.009969998
X211810_s_at,0.009965486
X208203_x_at,0.009951687
X208029_s_at,0.009933015
X213501_at,0.009922798
X219073_s_at,0.009903292
X202747_s_at,0.009899499
X219292_at,0.009874036
X211212_s_at,0.00986555
X202397_at,0.009863658
X211108_s_at,0.009857596
X209522_s_at,0.009850087
X212923_s_at,0.009849539
X210313_at,0.009842292
X215242_at,0.009841691
X202877_s_at,0.009840691
X216945_x_at,0.009830729
X209925_at,0.009829159
X219164_s_at,0.009822572
X205837_s_at,0.009821824
X213016_at,0.009812936
X215898_at,0.009772204
X203372_s_at,0.009768812
X201304_at,0.009766357
X206606_at,0.009763163
X37117_at,0.009736787
X205559_s_at,0.009704727
X220421_at,0.009687054
X204989_s_at,0.009680981
X205176_s_at,0.009675108
X201897_s_at,0.009633217
X221253_s_at,0.00962647
X212768_s_at,0.009625292
X210220_at,0.009621602
X214907_at,0.009619715
X212671_s_at,0.009613206
X202260_s_at,0.009608036
X212220_at,0.009604843
X211410_x_at,0.009595552
X221833_at,0.00958045
X208426_x_at,0.009568532
X202887_s_at,0.009549299
X212827_at,0.009506107
X213548_s_at,0.009502317
X218384_at,0.009501067
X211655_at,0.009492631
X205445_at,0.009491908
X218232_at,0.009485997
X205871_at,0.009482257
X213715_s_at,0.009468661
X204103_at,0.009468178
X214948_s_at,0.009455318
X209525_at,0.009442968
X208903_at,0.009435863
X215267_s_at,0.009424067
X206004_at,0.009410419
X222038_s_at,0.009407988
X212730_at,0.009402828
X218450_at,0.009398454
X221122_at,0.009396362
X213182_x_at,0.009373148
X209788_s_at,0.009372495
X33307_at,0.009363737
X205099_s_at,0.009363388
X211908_x_at,0.009359105
X202363_at,0.009334247
X205297_s_at,0.009303742
X206196_s_at,0.009283435
X201660_at,0.00927847
X221211_s_at,0.009277271
X203987_at,0.009251872
X209651_at,0.009242721
X202589_at,0.009230406
X203940_s_at,0.00920372
X206130_s_at,0.009196367
X222163_s_at,0.009188699
X218489_s_at,0.009185257
X206804_at,0.009181134
X202007_at,0.009163916
X218281_at,0.009131515
X206205_at,0.009126514
X211110_s_at,0.009125342
X209000_s_at,0.009108687
X210797_s_at,0.009103116
X222184_at,0.009097577
X210396_s_at,0.009088344
X220805_at,0.00908542
X219331_s_at,0.009067273
X213075_at,0.009064909
X213804_at,0.009050557
X215116_s_at,0.009045186
X214498_at,0.009032119
X215574_at,0.009028803
X202234_s_at,0.009024245
X207300_s_at,0.009019777
X214794_at,0.008984464
X214209_s_at,0.00898304
X215236_s_at,0.0089785
X215219_at,0.008974776
X205683_x_at,0.008965493
X210251_s_at,0.008961432
X215925_s_at,0.008959234
X217824_at,0.008956944
X212820_at,0.008941966
X212281_s_at,0.008927309
X218585_s_at,0.008927295
X212448_at,0.008917169
X213040_s_at,0.008904788
X212761_at,0.008895436
X204207_s_at,0.008882992
X216511_s_at,0.008863878
X214428_x_at,0.008861181
X211638_at,0.008858336
X221060_s_at,0.008855202
X221484_at,0.008852793
X212104_s_at,0.00885138
X209081_s_at,0.008851092
X219215_s_at,0.008849607
X212715_s_at,0.008847797
X211572_s_at,0.008845569
X216841_s_at,0.008823322
X219574_at,0.008818761
X214768_x_at,0.008801601
X221383_at,0.008795869
X201883_s_at,0.008794042
X207384_at,0.008793545
X203766_s_at,0.008793123
X219969_at,0.008771133
X207349_s_at,0.008770858
X217813_s_at,0.008770121
X214014_at,0.008767132
X208334_at,0.008766353
X201977_s_at,0.008761752
X204364_s_at,0.008758226
X213582_at,0.008755588
X203367_at,0.008749896
X204948_s_at,0.008748685
X221125_s_at,0.008735774
X205250_s_at,0.008732705
X205197_s_at,0.008722662
X215743_at,0.008714006
X216080_s_at,0.008710723
X210630_s_at,0.008706141
X217924_at,0.008701156
X220829_s_at,0.008700985
X202095_s_at,0.008696028
X210934_at,0.008695694
X201411_s_at,0.008691972
X205632_s_at,0.008671391
X202430_s_at,0.008666283
X202554_s_at,0.008662242
X206398_s_at,0.008659207
X208602_x_at,0.008656734
X200917_s_at,0.00865238
X218170_at,0.008637983
X201340_s_at,0.008634672
X209255_at,0.008629068
X217979_at,0.00861818
X210568_s_at,0.008615012
X209558_s_at,0.00860623
X208051_s_at,0.008603368
X206255_at,0.008601112
X209306_s_at,0.008600073
X220843_s_at,0.008599664
X221614_s_at,0.008596838
X222072_at,0.008594504
X216568_x_at,0.008590728
X216587_s_at,0.008590611
X219298_at,0.00858891
X201083_s_at,0.00858102
X217889_s_at,0.008580677
X206554_x_at,0.008580503
X218792_s_at,0.008577294
X217281_x_at,0.008577085
X222317_at,0.008576642
X207314_x_at,0.00857445
X215575_at,0.00856833
X201348_at,0.0085636
X215061_at,0.008559772
X211403_x_at,0.008555725
X205426_s_at,0.008551377
X39729_at,0.008548654
X204818_at,0.008539295
X220535_at,0.008535041
X215220_s_at,0.008533359
X205547_s_at,0.008519854
X215782_at,0.008513263
X208268_at,0.008508304
X205171_at,0.008502782
X202872_at,0.008501254
X208949_s_at,0.008500546
X214432_at,0.008498824
X221314_at,0.008493764
X204769_s_at,0.008492975
X213482_at,0.008480089
X211798_x_at,0.00847501
X216983_s_at,0.008468717
X205819_at,0.008468017
X205654_at,0.008460017
X221680_s_at,0.008457349
X212574_x_at,0.008455175
X211600_at,0.008454167
X212994_at,0.008451743
X213493_at,0.008445388
X218933_at,0.008445278
X212445_s_at,0.008421227
X214945_at,0.008418185
X206613_s_at,0.008413566
X212634_at,0.008408224
X215635_at,0.008403288
X213786_at,0.008376668
X206991_s_at,0.008375147
X218162_at,0.008369916
X208942_s_at,0.008368435
X202536_at,0.008367834
X220104_at,0.008366539
X204137_at,0.008360072
X209541_at,0.008358052
X219927_at,0.008350156
X204976_s_at,0.008345847
X206829_x_at,0.008343298
X202937_x_at,0.008336414
X204755_x_at,0.008335529
X207328_at,0.008333993
X209307_at,0.008333658
X216576_x_at,0.008331884
X219644_at,0.008320557
X212385_at,0.008302451
X207274_at,0.008302446
X215440_s_at,0.008297741
X206759_at,0.008295447
X217856_at,0.008295239
X203806_s_at,0.008291812
X201875_s_at,0.008281285
X214877_at,0.008278779
X204627_s_at,0.008278337
X218314_s_at,0.008277019
X222156_x_at,0.008271608
X201294_s_at,0.008265187
X210989_at,0.008262488
X204624_at,0.008261994
X211331_x_at,0.008259503
X208898_at,0.008253179
X220306_at,0.008241886
X217921_at,0.008241858
X222128_at,0.008241605
X218668_s_at,0.008240402
X211076_x_at,0.008240059
X49306_at,0.008234588
X205179_s_at,0.008224655
X213753_x_at,0.008218401
X211261_at,0.008215125
X219799_s_at,0.008215035
X204758_s_at,0.008209436
X210556_at,0.008209429
X209031_at,0.008201991
X216462_at,0.008200268
X216430_x_at,0.008182786
X201836_s_at,0.008179058
X210459_at,0.008165509
X216763_at,0.008165197
X207321_s_at,0.008160926
X205466_s_at,0.008134077
X221714_s_at,0.008134021
X216352_x_at,0.008133388
X217904_s_at,0.00811365
X218638_s_at,0.008110369
X202018_s_at,0.00810973
X205376_at,0.008107334
X218815_s_at,0.008087574
X203373_at,0.008083974
X204881_s_at,0.008080175
X214313_s_at,0.00807625
X210093_s_at,0.008074203
X210230_at,0.00806291
X215485_s_at,0.008060248
X214464_at,0.008055935
X214807_at,0.008046406
X204658_at,0.008044702
X211734_s_at,0.008043102
X202434_s_at,0.008042776
X203607_at,0.00804069
X208900_s_at,0.008030014
X210854_x_at,0.008023483
X216200_at,0.008013481
X216242_x_at,0.008010144
X213789_at,0.008009743
X219877_at,0.008009517
X204787_at,0.008008467
X202638_s_at,0.008005567
X211013_x_at,0.007997785
X210676_x_at,0.007996667
X210548_at,0.007996036
X207289_at,0.007991929
X219412_at,0.007991423
X221148_at,0.007990373
X215400_x_at,0.007988459
X215779_s_at,0.007987211
X217036_at,0.007983308
X205454_at,0.007981931
X222146_s_at,0.007977678
X206548_at,0.007976227
X221722_x_at,0.007974415
X217649_at,0.007971645
X220992_s_at,0.00796777
X210993_s_at,0.007964412
X219842_at,0.007960772
X34449_at,0.007955447
X214504_at,0.007954239
X206377_at,0.007953321
X210408_s_at,0.007953308
X211343_s_at,0.007949707
X201621_at,0.007923631
X206448_at,0.007918898
X37966_at,0.007909442
X212387_at,0.007899824
X204836_at,0.007899157
X215299_x_at,0.007886478
X212188_at,0.007886286
X206394_at,0.007882846
X203661_s_at,0.007879283
X203759_at,0.007870744
X205511_at,0.007869898
X204622_x_at,0.007840006
X212451_at,0.007836327
X202375_at,0.007833201
X202637_s_at,0.007832257
X218922_s_at,0.007830545
X219885_at,0.007829081
X212932_at,0.007828592
X214724_at,0.007823804
X218509_at,0.007816813
X219342_at,0.007807342
X209681_at,0.007805502
X216037_x_at,0.007804236
X204730_at,0.007800391
X215358_x_at,0.00778729
X214618_at,0.007784038
X203042_at,0.007782678
X212154_at,0.007777236
X221978_at,0.007776631
X218984_at,0.007773878
X201042_at,0.007769937
X203304_at,0.007768932
X211650_x_at,0.007768399
X221299_at,0.007767146
X206739_at,0.007766111
X206968_s_at,0.007754074
X205306_x_at,0.007751784
X216429_at,0.007750555
X207057_at,0.007747684
X203615_x_at,0.007744151
X201581_at,0.007742652
X209733_at,0.007740473
X202874_s_at,0.007738786
X214844_s_at,0.007736321
X202732_at,0.007734867
X216920_s_at,0.007729751
X215352_at,0.007722555
X219998_at,0.007718888
X204558_at,0.007718632
X215881_x_at,0.007718249
X221895_at,0.007716598
X220936_s_at,0.007714695
X217198_x_at,0.007711921
X205221_at,0.007711703
X216829_at,0.007710032
X221733_s_at,0.007702039
X216374_at,0.007695001
X214336_s_at,0.007687894
X215469_at,0.007685546
X203819_s_at,0.007678294
X206142_at,0.007667355
X208478_s_at,0.007663474
X215145_s_at,0.007660496
X207691_x_at,0.007657161
X205005_s_at,0.007647739
X213556_at,0.007646651
X202746_at,0.007645873
X206576_s_at,0.007645666
X218212_s_at,0.007636813
X208322_s_at,0.007636252
X206890_at,0.007629385
X221248_s_at,0.007627481
X214183_s_at,0.007620496
X221550_at,0.007618625
X221626_at,0.007614778
X206385_s_at,0.007613499
X214109_at,0.00761321
X209347_s_at,0.007609782
X213162_at,0.007609059
X210077_s_at,0.00760339
X220095_at,0.007601166
X215528_at,0.007597998
X37986_at,0.007593723
X216838_at,0.007590627
X210241_s_at,0.007586878
X205931_s_at,0.007586355
X222067_x_at,0.007579406
X220064_at,0.007577423
X215956_at,0.007574565
X213843_x_at,0.007574132
X211171_s_at,0.007569676
X211794_at,0.007567695
X206488_s_at,0.007567684
X206012_at,0.007566542
X210316_at,0.00756537
X218728_s_at,0.007560291
X219864_s_at,0.007557075
X213401_s_at,0.007550366
X203546_at,0.007550312
X214950_at,0.007543376
X211692_s_at,0.007541968
X221675_s_at,0.007540181
X202154_x_at,0.007536146
X212190_at,0.00753086
X211327_x_at,0.007529935
X211430_s_at,0.007529695
X220119_at,0.007525884
X220038_at,0.007525146
X214546_s_at,0.007523795
X212989_at,0.007523351
X216693_x_at,0.007521613
X205092_x_at,0.007519501
X212490_at,0.00751891
X203139_at,0.007512622
X214053_at,0.007511233
X203805_s_at,0.007511111
X216610_at,0.007510225
X204351_at,0.007501832
X215083_at,0.007500502
X210839_s_at,0.007500276
X205222_at,0.007487404
X204702_s_at,0.0074856
X214949_at,0.007484988
X213996_at,0.007483847
X205619_s_at,0.007479623
X201893_x_at,0.007477481
X219304_s_at,0.007476032
X217374_x_at,0.007474002
X208161_s_at,0.007465482
X214131_at,0.00746156
X209894_at,0.007461398
X215054_at,0.007455444
X211416_x_at,0.007454219
X203795_s_at,0.007451331
X221943_x_at,0.007450479
X211833_s_at,0.00744789
X205901_at,0.007444218
X220953_s_at,0.007441627
X206928_at,0.007435602
X204705_x_at,0.007431606
X221824_s_at,0.007428402
X205976_at,0.007426686
X220131_at,0.007425113
X211993_at,0.007414944
X207322_at,0.007414857
X206515_at,0.007412628
X217486_s_at,0.007409726
X213135_at,0.007406683
X221545_x_at,0.007404598
X213457_at,0.007404254
X208058_s_at,0.007400953
X203470_s_at,0.007400719
X219876_s_at,0.007399514
X212266_s_at,0.007396902
X206641_at,0.007394405
X217328_at,0.007393561
X220322_at,0.00738317
X205991_s_at,0.007379166
X87100_at,0.007375561
X210816_s_at,0.007375558
X202833_s_at,0.007370156
X205987_at,0.007366096
X212987_at,0.007365688
X214712_at,0.007361456
X204885_s_at,0.007359434
X221567_at,0.007358948
X219763_at,0.007352521
X215188_at,0.007348255
X207001_x_at,0.007345967
X212077_at,0.007342573
X202137_s_at,0.007339926
X214648_at,0.007339042
X213922_at,0.007334296
X205377_s_at,0.007334276
X207073_at,0.00733233
X220679_s_at,0.007327556
X210455_at,0.007320978
X217066_s_at,0.007320947
X209230_s_at,0.007318166
X222115_x_at,0.007312637
X117_at,0.007307176
X215385_at,0.007305027
X222135_at,0.0073022
X201708_s_at,0.007301455
X215997_s_at,0.007301382
X214959_s_at,0.007300691
X220242_x_at,0.007298972
X215345_x_at,0.007298099
X219935_at,0.007296498
X49452_at,0.007295157
X213899_at,0.00729485
X214499_s_at,0.007288664
X207216_at,0.007284766
X205594_at,0.007284696
X207002_s_at,0.007283683
X33646_g_at,0.007276222
X204510_at,0.007273969
X221446_at,0.007273961
X203585_at,0.007269267
X219648_at,0.0072651
X211190_x_at,0.007262204
X216056_at,0.007258467
X219570_at,0.007256051
X219567_s_at,0.007255535
X217429_at,0.007254818
X209600_s_at,0.007245882
X205336_at,0.007241013
X202351_at,0.007237856
X215122_at,0.007234438
X211701_s_at,0.007231024
X202342_s_at,0.007221678
X217000_at,0.0072203
X209032_s_at,0.007216625
X211389_x_at,0.007213869
X213103_at,0.007211428
X212282_at,0.007210406
X201681_s_at,0.007208028
X221456_at,0.007207945
X215891_s_at,0.007204978
X202627_s_at,0.007200752
X210943_s_at,0.007197788
X208559_at,0.00719658
X216285_at,0.007196036
X219922_s_at,0.007188469
X202036_s_at,0.007187774
X203417_at,0.007187165
X212759_s_at,0.007182631
X203339_at,0.007181487
X208782_at,0.007179698
X219239_s_at,0.007176011
X215255_at,0.007174798
X218327_s_at,0.007170319
X205670_at,0.007168334
X215639_at,0.007165783
X201053_s_at,0.007164638
X205624_at,0.007163647
X216879_at,0.007162891
X222307_at,0.007162683
X217258_x_at,0.007158702
X217072_at,0.007157335
X213429_at,0.007155977
X213381_at,0.00715346
X205589_at,0.007152919
X204697_s_at,0.007150394
X212158_at,0.007148484
X213979_s_at,0.007142599
X41660_at,0.007141856
X216541_x_at,0.007135004
X220773_s_at,0.007134315
X222108_at,0.007129243
X202906_s_at,0.007128771
X203491_s_at,0.007121587
X204689_at,0.007116249
X220302_at,0.007115924
X208304_at,0.007115331
X206746_at,0.00711411
X212540_at,0.007109842
X204507_s_at,0.00710833
X212096_s_at,0.007107105
X202600_s_at,0.007105177
X37384_at,0.007099891
X213002_at,0.007098399
X205911_at,0.007097584
X217615_at,0.007094322
X59433_at,0.007091922
X211370_s_at,0.007091868
X205464_at,0.007088078
X214778_at,0.007078818
X210890_x_at,0.007078569
X213552_at,0.007077953
X219205_at,0.007075939
X214865_at,0.00707081
X217184_s_at,0.007066957
X209301_at,0.00706271
X209710_at,0.007060149
X206777_s_at,0.007059275
X219204_s_at,0.007052057
X217330_at,0.007051434
X207693_at,0.007047236
X206666_at,0.007046309
X209436_at,0.007041304
X208223_s_at,0.007040538
X217544_at,0.007039786
X206301_at,0.007039494
X218564_at,0.007023658
X218834_s_at,0.007021183
X220615_s_at,0.007020424
X222032_s_at,0.007019806
X208195_at,0.007014684
X214045_at,0.00701418
X215621_s_at,0.007008129
X207650_x_at,0.007007869
X206295_at,0.007007075
X202983_at,0.007006644
X205646_s_at,0.007005322
X211760_s_at,0.007000255
X210760_x_at,0.007000149
X204168_at,0.006998827
X201059_at,0.006997227
X203786_s_at,0.006995196
X208677_s_at,0.006993212
X203113_s_at,0.006987548
X206839_at,0.006986175
X205237_at,0.006983723
X217257_at,0.006980814
X205861_at,0.006980532
X221082_s_at,0.006978578
X206464_at,0.006976348
X202308_at,0.006974435
X206021_at,0.006974003
X201155_s_at,0.006972205
X220048_at,0.006968656
X214646_at,0.00696849
X209269_s_at,0.006967675
X91826_at,0.006963843
X203065_s_at,0.006949241
X215013_s_at,0.006947758
X213239_at,0.006944497
X202446_s_at,0.006942434
X202085_at,0.006939092
X214734_at,0.006935945
X219518_s_at,0.00693556
X202580_x_at,0.006935061
X213056_at,0.006935015
X211893_x_at,0.006934531
X213609_s_at,0.006930109
X219891_at,0.006929832
X212437_at,0.006928357
X212816_s_at,0.006924509
X218295_s_at,0.006924209
X201167_x_at,0.006923665
X217320_at,0.006919726
X215087_at,0.006917855
X217011_at,0.006917068
X221655_x_at,0.006916205
X206881_s_at,0.006913093
X219470_x_at,0.006912501
X213201_s_at,0.006910992
X208935_s_at,0.006904453
X214469_at,0.006904116
X205885_s_at,0.006897981
X213279_at,0.006891842
X209024_s_at,0.006890819
X217769_s_at,0.006889997
X202679_at,0.006885067
