original.symbol,symbol,gene_id
SIGLEC14,SIGLEC14,100049587
TANK,TANK,10010
LOC100127993,RPL15P5,100127993
LOC100128274,LOC100128274,100128274
LOC100128410,NPM1P34,100128410
LOC100128936,RPL10AP6,100128936
LOC100129067,NPM1P35,100129067
LOC100129550,LINC02035,100129550
LOC100129553,RPL13AP16,100129553
LOC100129742,RPS3AP13,100129742
LOC100130624,RPL15P22,100130624
TSTD1,TSTD1,100131187
FCGR1C,FCGR1CP,100132417
LOC100132488,RPS27P6,100132488
LOC100132673,RPS2P28,100132673
LOC100132742,RPL17P7,100132742
LGTN,LGTN,100529141
ABCC5,ABCC5,10057
RASGRP1,RASGRP1,10125
MBNL2,MBNL2,10150
ABI2,ABI2,10152
DHRS9,DHRS9,10170
ZNF256,ZNF256,10172
LHFPL2,LHFPL2,10184
TNK2,TNK2,10188
CD96,CD96,10225
CALCOCO2,CALCOCO2,10241
CDKN1A,CDKN1A,1026
ADAR,ADAR,103
TRIM22,TRIM22,10346
IRF9,IRF9,10379
NOD1,NOD1,10392
IFITM3,IFITM3,10410
CDC42EP2,CDC42EP2,10435
IFI30,IFI30,10437
TRIM38,TRIM38,10475
CRTAP,CRTAP,10491
ZNF211,ZNF211,10520
FLJ44790,LOC105369209,105369209
IFI44,IFI44,10561
NPC2,NPC2,10577
DRAP1,DRAP1,10589
C6orf108,DNPH1,10591
MXD4,MXD4,10608
EDG1,HEXIM1,10614
RBCK1,RBCK1,10616
TUSC4,NPRL2,10641
IGF2BP3,IGF2BP3,10643
TNFSF13B,TNFSF13B,10673
EBP,EBP,10682
TCFL5,TCFL5,10732
ZMYND11,ZMYND11,10771
VAMP5,VAMP5,10791
MTHFD2,MTHFD2,10797
HPSE,HPSE,10855
LILRB1,LILRB1,10859
TRAFD1,TRAFD1,10906
MSL3,MSL3,10943
AP3M2,AP3M2,10947
IFI44L,IFI44L,10964
SLC27A3,SLC27A3,11000
LILRB4,LILRB4,11006
LILRB3,LILRB3,11025
RIPK3,RIPK3,11035
OGFR,OGFR,11054
DUS4L,DUS4L,11062
DIDO1,DIDO1,11083
RCAN3,RCAN3,11123
PSIP1,PSIP1,11168
BAZ1A,BAZ1A,11177
RASSF1,RASSF1,11186
AKAP13,AKAP13,11214
CA5B,CA5B,11238
MGC4677,CYTOR,112597
SP140,SP140,11262
USP18,USP18,11274
KLF12,KLF12,11278
CD300A,CD300A,11314
C12orf57,C12orf57,113246
HELQ,HELQ,113510
PIK3IP1,PIK3IP1,113791
C1orf59,HENMT1,113802
CHRNB1,CHRNB1,1140
LACTB,LACTB,114294
CARD16,CARD16,114769
TUBGCP5,TUBGCP5,114791
ESCO1,ESCO1,114799
TMEM123,TMEM123,114908
NCRNA00219,EPB41L4A-AS1,114915
GBP4,GBP4,115361
GBP5,GBP5,115362
C16orf42,TSR3,115939
C16orf75,RMI2,116028
BATF2,BATF2,116071
SLC26A8,SLC26A8,116369
GRIN3A,GRIN3A,116443
TRIM78P,TRIM78P,117852
TRIM6,TRIM6,117854
PIK3AP1,PIK3AP1,118788
ANKRD22,ANKRD22,118932
OR52K2,OR52K2,119774
SOCS4,SOCS4,122809
CCR1,CCR1,1230
DCUN1D3,DCUN1D3,123879
ZNF684,ZNF684,127396
ZNF831,ZNF831,128611
C2orf89,TRABD2A,129293
CMPK2,CMPK2,129607
GALM,GALM,130589
ADK,ADK,132
