Principal-Response,,Secondary-Response,,Gender-Factor,
H3N2,H1N1,H3N2,H1N1,H3N2,H1N1
RSAD2,RSAD2,INDO,CCL8,XIST,XIST
IFI44L,IFI44L,CCL8,CCL2,RPS4Y1,RPS4Y1
IFIT1,IFIT1,SOCS1,LAMP3,JARID1D,JARID1D
IFI44,IFI44,HESX1,SOCS1,CYorf15B,CYorf15B
HERC5,HERC5,TFEC,IFI27,USP9Y,USP9Y
OAS3,ISG15,CCL2,HESX1,PRKY,PRKY
MX1,MX1,CXCL10,ATF3,DDX3Y,DDX3Y
ISG15,IFI27,ATF3,CXCL10,EIF1AY,EIF1AY
IFIT3,OAS3,LAMP3,INDO,NCAPG2,HMBOX1
SERPING1,IFIT3,RASGRP3,ERAP2,TMEM176B,UTY
IFIT2,SIGLEC1,SLFN12,TTC26,HBZ,RNASE2
OASL,OASL,CD69,TFEC,TMEM176A,LILRA3
LAMP3,LAMP3,RIN2,SLFN12,UTY,PI3
IFI27,OAS1,KLF5,SRGAP2,GSTM3,UBA6
OAS1,IFIT2,FAM70A,KLF5,EIF5A,ABP1
OAS2,SERPING1,SRGAP2,DDX58,IGHV3-9,HBG2
IFI6,IFI6,TTC26,SEC24D,AMFR,TCL1A
IFIT5,OAS2,P2RY14,MLSTD1,ERAP2,FAM106A
IFITM3,LOC26010,LGALS8,RASGRP3,RUNDC3A,IFIT1
XAF1,LY6E,STBD1,COL9A3,CFD,TPP2
DDX58,DDX60,ZFYVE26,EXOSC9,TTTY15,RNASE3
SIGLEC1,XAF1,SGK1,ABTB2,KRT1,LTF
DDX60,TNFAIP6,EIF4G3,DSP,LAIR2,COL9A3
LY6E,IFIT5,PHACTR2,IFIH1,AKAP12,PF4V1
GBP1,DDX58,MAP2K6,SSB,CPA3,HBZ
IFIH1,HERC6,SLC27A3,APOL1,HDC,BTNL8
LOC26010,ZCCHC2,KIAA0226,MANSC1,SPATA20,FOLR3
ZCCHC2,PLSCR1,SEC24D,CEACAM1,HLA-DQB1,HLA-DQB1
EIF2AK2,PARP12,CD163,TRIM5,GPR177,KANK1
LAP3,RTP4,ABTB2,SGK1,PRKX,CHI3L2
IFI35,IFITM3,DISC1,APOL6,PRSS21,LEPROT
IRF7,ZBP1,C5,SERPINB9,ABP1,DEFA4
PLSCR1,IFI35,SCARB2,EIF4G3,GSTM4,TMEM176A
M97935_MA_at,EIF2AK2,NOD1,GNLY,CLEC5A,CLC
RTP4,LAP3,TMEM62,ISG20,S100A12,VNN1
M97935_MB_at,IFIH1,DNAJC15,C5,KANK1,CYP26B1
HERC6,MT2A,MLSTD1,TRIB2,PYROXD1,FCGR2B
TNFAIP6,IRF7,MIA3,FLJ20699,TGM3,TMEM158
PARP12,TOR1B,SLC25A28,FANCA,GATA2,CD9
M97935_5_at,MX2,KIAA0319L,TRAFD1,ACTA2,PLVAP
SCO2,DHX58,CH25H,DHX58,C15orf29,IL18RAP
ZBP1,GBP1,LOC93349,KIAA0319L,MAK,AZU1
STAT1,TIMM10,TCF4,PHLPP,MAD1L1,ERAP1
UBE2L6,SCO2,RABGAP1L,IGSF2,LILRA3,ADAM17
MX2,ETV7,TRIB2,TMEM62,C21orf7,C4BPA
TOR1B,SAMD9,HSPA1B,ABCG1,EIF1AX,IGKV1-37
M97935_3_at,TNFSF10,GORASP1,SCARB2,OAS1,FCER2
TNFSF10,M97935_MA_at,FLJ20699,FAM70A,RNASE6,CR2
TRIM22,TDRD7,PHLPP,TSPAN2,ACP5,CYBRD1
APOL6,TRIM22,UBA7,RIF1,EMR2,PVRL2
