original.symbol,symbol,gene_id
TRIM22,TRIM22,10346
IFI44,IFI44,10561
IFI44L,IFI44L,10964
SAMD4A,SAMD4A,23034
DDX58,DDX58,23586
IFIT5,IFIT5,24138
IFI6,IFI6,2537
LOC26010,SPATS2L,26010
GBP1,GBP1,2633
GCH1,GCH1,2643
LAMP3,LAMP3,27074
TOR1B,TOR1B,27348
IFI27,IFI27,3429
IFI35,IFI35,3430
IFIT2,IFIT2,3433
IFIT1,IFIT1,3434
IFIT3,IFIT3,3437
CXCL10,CXCL10,3627
IRF7,IRF7,3665
LY6E,LY6E,4061
MT2A,MT2A,4502
MX1,MX1,4599
ATF3,ATF3,467
OAS1,OAS1,4938
OAS2,OAS2,4939
OAS3,OAS3,4940
LAP3,LAP3,51056
HERC5,HERC5,51191
MS4A4A,MS4A4A,51338
PLSCR1,PLSCR1,5359
XAF1,XAF1,54739
ZCCHC2,ZCCHC2,54877
HERC6,HERC6,55008
DDX60,DDX60,55601
EIF2AK2,EIF2AK2,5610
RTP4,RTP4,64108
IFIH1,IFIH1,64135
PARP12,PARP12,64761
SIGLEC1,SIGLEC1,6614
STAT1,STAT1,6772
SERPING1,SERPING1,710
TNFAIP6,TNFAIP6,7130
ZBP1,ZBP1,81030
OASL,OASL,8638
TNFSF10,TNFSF10,8743
RSAD2,RSAD2,91543
UBE2L6,UBE2L6,9246
AIM2,AIM2,9447
ISG15,ISG15,9636
SCO2,SCO2,9997
