"","RVD.Genelist.LIT.Genelist.LIT.col","Num.Neither","Num.RVD.Only","Num.LIT.Only","Num.Both","Fisher.Exact.P","BH.Adj.P"
"1","TIME0_predictors.csv,Analysis of gene-expression profiles by oligonucleotide microarray in children with influenza.  - Sheet1.csv,Fig.1..acute.phase.influenza.virus.infection.",12148,257,29,0,1,1
"2","TIME0_predictors.csv,Analysis of gene-expression profiles by oligonucleotide microarray in children with influenza.  - Sheet1.csv,Table.1..febrile.convulsion.",12149,257,28,0,1,1
"3","TIME0_predictors.csv,A whole genome transcriptional analysis of the early immune response induced by live attenuated and inactivated influenza vaccines in young children. Table 2 (co-expression cluste.csv,A",12167,257,10,0,1,1
"4","TIME0_predictors.csv,A whole genome transcriptional analysis of the early immune response induced by live attenuated and inactivated influenza vaccines in young children. Table 2 (co-expression cluste.csv,B",12170,247,7,10,2.04756446016515e-13,9.79269959209418e-13
"5","TIME0_predictors.csv,A whole genome transcriptional analysis of the early immune response induced by live attenuated and inactivated influenza vaccines in young children. Table 2 (co-expression cluste.csv,C",12124,257,53,0,1,1
"6","TIME0_predictors.csv,A whole genome transcriptional analysis of the early immune response induced by live attenuated and inactivated influenza vaccines in young children. Table 2 (co-expression cluste.csv,D",12150,257,27,0,1,1
"7","TIME0_predictors.csv,A whole genome transcriptional analysis of the early immune response induced by live attenuated and inactivated influenza vaccines in young children. Table 2 (co-expression cluste.csv,E",12169,254,8,3,0.00127350264532357,0.00393611959076508
"8","TIME0_predictors.csv,A whole genome transcriptional analysis of the early immune response induced by live attenuated and inactivated influenza vaccines in young children. Table 2 (co-expression cluste.csv,F",12166,257,11,0,1,1
"9","TIME0_predictors.csv,Bioinf.csv,WO.Baseline",12105,254,72,3,0.202269645594153,0.364748541235357
"10","TIME0_predictors.csv,Bioinf.csv,W.Baseline",12160,256,17,1,0.313537084684911,0.547445703418098
"11","TIME0_predictors.csv,BMC.csv,Combined",12148,257,29,0,1,1
"12","TIME0_predictors.csv,DavenportEE_2015_JMolMed.FigS3.processed.csv,original.symbol",12172,256,5,1,0.117802958082854,0.227339041914279
"13","TIME0_predictors.csv,DavenportEE_2015_JMolMed.FigS3.processed.csv,symbol",12172,256,5,1,0.117802958082854,0.227339041914279
"14","TIME0_predictors.csv,DavenportEE_2015_JMolMed.FigS3.processed.csv,gene_id",12171,257,6,0,1,1
"15","TIME0_predictors.csv,DavenportEE_2015_JMolMed.TableS3.processed.csv,original.symbol",11239,243,938,14,0.934422765677187,1
"16","TIME0_predictors.csv,DavenportEE_2015_JMolMed.TableS3.processed.csv,symbol",11332,243,845,14,0.856324330133278,1
"17","TIME0_predictors.csv,DavenportEE_2015_JMolMed.TableS3.processed.csv,gene_id",11318,257,859,0,1,1
"18","TIME0_predictors.csv,JASA.csv,Principal.Response",12129,254,48,3,0.0882093466518128,0.190255453562733
"19","TIME0_predictors.csv,JASA.csv,X",12129,254,48,3,0.0882093466518128,0.190255453562733
"20","TIME0_predictors.csv,JASA.csv,Secondary.Response",12126,257,51,0,1,1
"21","TIME0_predictors.csv,JASA.csv,X.1",12126,257,51,0,1,1
"22","TIME0_predictors.csv,JASA.csv,Gender.Factor",12131,252,46,5,0.00392564721532058,0.0113637156232964
"23","TIME0_predictors.csv,JASA.csv,X.2",12131,252,46,5,0.00392564721532058,0.0113637156232964
"24","TIME0_predictors.csv,McClainMT_2016_OpenForumInfectDis.SupplementalTable2.processed.csv,original.symbol",12130,254,47,3,0.0842471053499096,0.189126154867144
"25","TIME0_predictors.csv,McClainMT_2016_OpenForumInfectDis.SupplementalTable2.processed.csv,symbol",12130,254,47,3,0.0842471053499096,0.189126154867144
"26","TIME0_predictors.csv,McClainMT_2016_OpenForumInfectDis.SupplementalTable2.processed.csv,gene_id",12127,257,50,0,1,1
"27","TIME0_predictors.csv,MullerJ_2017_JTranslMed.TableS3.processed.csv,original.symbol",12158,257,19,0,1,1
"28","TIME0_predictors.csv,MullerJ_2017_JTranslMed.TableS3.processed.csv,symbol",12158,257,19,0,1,1
"29","TIME0_predictors.csv,MullerJ_2017_JTranslMed.TableS3.processed.csv,gene_id",12158,257,19,0,1,1
"30","TIME0_predictors.csv,OF.csv,Current.Signature",12130,254,47,3,0.0842471053499096,0.189126154867144
"31","TIME0_predictors.csv,PG.csv,X1vs2",12171,257,6,0,1,1
"32","TIME0_predictors.csv,PG.csv,X1vs3",12173,256,4,1,0.0991762213286892,0.205837440493506
"33","TIME0_predictors.csv,PG.csv,X1vs4",12172,257,5,0,1,1
"34","TIME0_predictors.csv,PG.csv,X2vs3",12160,255,17,2,0.0577721486147307,0.14778921738652
"35","TIME0_predictors.csv,PG.csv,X2vs4",12170,255,7,2,0.0139201397881826,0.0373467165048802
"36","TIME0_predictors.csv,PG.csv,X3vs4",12171,256,6,1,0.136046009239277,0.258018293384835
"37","TIME0_predictors.csv,PO.csv,H1N1",12129,255,48,2,0.276672188811706,0.490870012407865
"38","TIME0_predictors.csv,PO.csv,H3N2",12130,254,47,3,0.0842471053499096,0.189126154867144
"39","TIME0_predictors.csv,ProudD_2008_AmJRespirCritCareMed.Table2.processed.csv,original.symbol",12145,256,32,1,0.498487562613563,0.843594336730645
"40","TIME0_predictors.csv,ProudD_2008_AmJRespirCritCareMed.Table2.processed.csv,symbol",12146,255,31,2,0.148275378054126,0.276445620100913
"41","TIME0_predictors.csv,ProudD_2008_AmJRespirCritCareMed.Table2.processed.csv,gene_id",12144,257,33,0,1,1
"42","TIME0_predictors.csv,ProudD_2008_AmJRespirCritCareMed.Table3.processed.csv,original.symbol",12157,257,20,0,1,1
"43","TIME0_predictors.csv,ProudD_2008_AmJRespirCritCareMed.Table3.processed.csv,symbol",12157,257,20,0,1,1
"44","TIME0_predictors.csv,ProudD_2008_AmJRespirCritCareMed.Table3.processed.csv,gene_id",12157,257,20,0,1,1
"45","TIME0_predictors.csv,SHM.csv,Rhinovirus",12150,257,27,0,1,1
"46","TIME0_predictors.csv,SHM.csv,RSV",12152,256,25,1,0.419335056555593,0.720732128454926
"47","TIME0_predictors.csv,SHM.csv,Influenza",12154,255,23,2,0.0935787229710055,0.197954990900204
"48","TIME0_predictors.csv,SHM.csv,Panviral",12151,255,26,2,0.113333614120762,0.227339041914279
"49","TIME0_predictors.csv,SHM.csv,Literature",12149,257,28,0,1,1
"50","TIME0_predictors.csv,STM.csv,H3N2.H1N1",12134,253,43,4,0.0158606709709025,0.0415398525428398
"51","TIME0_predictors.csv,Systems biology of vaccination for seasonal influenza in humans. - Sheet1.csv,Table.S6..Sets.of.2.4.genes.identified.by.DAMIP.model..first.analysis..as.predictors.of.HAI.response..",12043,257,134,0,1,1
