RVD.List,Lit.Article,Lit.List,Num.Neither,Num.RVD.Only,Num.LIT.Only,Num.Both,Overlapping.Genes,Fisher.Exact.P,Bonferroni.Adj.P
TIME24 Union,"Chen M, et al. (2011a)",Principal Response H1N1,12114,269,23,28,IRF7|LAMP3|TNFAIP6|LY6E|TNFSF10|RTP4|DHX58|IFIT2|LAP3|RSAD2|HERC6|IFI27|IFI44L|IFIH1|IFIT1|IFIT3|ISG15|MX1|OAS2|SERPING1|TDRD7|ZBP1|PLSCR1|XAF1|MT2A|IFITM3|IFI44|OAS3,1.29778565394539E-32,1.19396280162976E-30
TIME24 Union,"Woods CW, et al. (2013)",H1N1,12114,270,23,27,IRF7|CCL2|LAMP3|TNFAIP6|LY6E|RTP4|DHX58|IFIT2|LAP3|RSAD2|HERC6|IFI27|IFI44L|IFIH1|IFIT1|IFIT3|ISG15|MX1|OAS2|SERPING1|TDRD7|ZBP1|PLSCR1|XAF1|IFITM3|IFI44|OAS3,3.270356228425E-31,3.008727730151E-29
TIME24 Union,"Woods CW, et al. (2013)",H3N2,12114,270,23,27,IRF7|CCL2|CXCL10|LAMP3|TNFAIP6|LY6E|TNFSF10|RTP4|IFIT2|LAP3|RSAD2|HERC6|IFI27|IFI44L|IFIH1|IFIT1|IFIT3|ISG15|MX1|OAS2|SERPING1|ZBP1|PLSCR1|XAF1|IFITM3|IFI44|OAS3,3.270356228425E-31,3.008727730151E-29
TIME24 Union,"McClain MT, et al. (2016)",Current.Signature,12113,271,24,26,IRF7|CXCL10|LAMP3|TNFAIP6|LY6E|TNFSF10|RTP4|IFIT2|LAP3|RSAD2|HERC6|IFI27|IFI44L|IFIH1|IFIT1|IFIT3|ISG15|MX1|OAS2|SERPING1|ZBP1|PLSCR1|XAF1|MT2A|IFI44|OAS3,1.647261791116E-29,1.51548084782672E-27
TIME24 Union,"Chen M, et al. (2011a)",Principal Response H3N2,12111,272,26,25,IRF7|LAMP3|TNFAIP6|LY6E|TNFSF10|RTP4|IFIT2|LAP3|RSAD2|HERC6|IFI27|IFI44L|IFIH1|IFIT1|IFIT3|ISG15|MX1|OAS2|SERPING1|ZBP1|PLSCR1|XAF1|IFITM3|IFI44|OAS3,1.46746613754787E-27,1.35006884654404E-25
TIME24 Union,"Zaas AK, et al. (2009)",Literature,12127,279,10,18,CXCL10|LAMP3|LY6E|DHX58|RSAD2|HERC6|IFI27|IFI44L|IFIT1|IFIT3|ISG15|MX1|OAS2|SERPING1|XAF1|PML|IFI44|OAS3,4.05778564744044E-23,3.7331627956452E-21
TIME24 Union,"Zaas AK, et al. (2013)",N/A,12111,276,26,21,CCL2|LAMP3|NLRP3|TNFAIP6|LY6E|RTP4|NOD2|IFIT2|RSAD2|IFI27|IFI44L|IFIT1|IFIT3|ISG15|MX1|OAS2|SERPING1|ADAR|XAF1|SOCS1|OAS3,3.09295460325784E-22,2.84551823499721E-20
TIME24 Union,"Zaas AK, et al. (2009)",Rhinovirus,12127,280,10,17,CCL2|CXCL10|LAMP3|LY6E|IFIT2|RSAD2|IFI44L|IFIT1|IFIT3|ISG15|MX1|OAS2|SERPING1|XAF1|SOCS1|IFI44|OAS3,1.15671649649477E-21,1.06417917677519E-19
TIME24 Union,"Chen M, et al. (2011b)",Single.Task,12108,276,29,21,IRF7|IFITM1|LY6E|RTP4|LAP3|RSAD2|IFI27|IFI44L|IFIT1|IFIT3|ISG15|MX1|OAS2|SERPING1|TDRD7|PLSCR1|XAF1|MT2A|IFITM3|IFI44|OAS3,1.55556187257262E-21,1.43111692276681E-19
TIME24 Union,"Proud D, et al. (2008)",Table 2,12122,279,15,18,IRF7|CCL2|CCL20|CXCL10|CXCL9|CXCL11|IFIT2|RSAD2|IFIH1|IFIT1|IFIT3|ISG15|MX1|OAS2|PLSCR1|SOCS3|SOCS1|OAS3,2.87980178066214E-21,2.64941763820917E-19
TIME24 Union,"Zaas AK, et al. (2009)",Panviral,12126,280,11,17,LAMP3|TNFAIP6|LY6E|RTP4|IFIT2|RSAD2|IFI27|IFI44L|IFIT1|IFIT3|ISG15|MX1|OAS2|SERPING1|XAF1|IFI44|OAS3,2.88165803107168E-21,2.65112538858595E-19
TIME24 Union,"Chen B, et al. (2010)",Combined,12125,280,12,17,CXCL10|LAMP3|LY6E|IFIT2|LAP3|RSAD2|IFI44L|IFIH1|IFIT1|IFIT3|ISG15|MX1|OAS2|SERPING1|XAF1|IFITM3|OAS3,6.8156815502817E-21,6.27042702625916E-19
TIME24 Union,"Zaas AK, et al. (2009)",Influenza,12128,281,9,16,CCL2|LAMP3|TNFAIP6|LY6E|RTP4|RSAD2|IFI27|IFI44L|IFIT1|IFIT3|ISG15|MX1|SERPING1|XAF1|IFI44|OAS3,1.26483877710967E-20,1.1636516749409E-18
TIME24 Union,"Muller J, et al. (2017)",N/A,12131,284,6,13,CCL2|CXCL10|LAMP3|RSAD2|IFI27|IFI44L|IFIT1|IFIT3|ISG15|SERPING1|USP18|IFI44|OAS3,1.51528218558737E-17,1.39405961074038E-15
