"Feature","Weight"
"215469_at",0.31943
"206615_s_at",-0.27263
"AFFX-r2-Bs-lys-5_at",-0.22619
"211436_at",-0.17652
"Sham",-0.15389
"210401_at",0.1381
"205161_s_at",-0.12018
"206746_at",-0.11588
"218584_at",-0.11426
"221828_s_at",-0.11307
"209789_at",-0.11117
"204246_s_at",-0.10846
"212201_at",-0.10686
"222030_at",-0.083141
"206283_s_at",0.082849
"218399_s_at",-0.07643
"215211_at",-0.068644
"212611_at",-0.06661
"213655_at",0.062785
"207979_s_at",-0.05473
"221978_at",-0.049459
"201028_s_at",-0.045265
"205229_s_at",-0.045255
"222072_at",-0.042259
"212732_at",0.036933
"221422_s_at",-0.03577
"41660_at",-0.035666
"213449_at",-0.03309
"221122_at",0.032354
"217380_s_at",-0.029507
"211152_s_at",-0.023585
"203859_s_at",0.021094
"33646_g_at",0.01969
"205223_at",-0.019336
"209771_x_at",-0.017813
"201137_s_at",-0.017267
"211560_s_at",0.016998
"205868_s_at",0.013589
"207808_s_at",0.009871
"218314_s_at",-0.0095908
"209396_s_at",-0.0095164
"205039_s_at",-0.0078752
"208886_at",0.0050822
"205692_s_at",0.0013987
"205671_s_at",-9.9406e-05
