NAME	RATIO	NOM_pval	ADJ_pval	NEG_LOG10_FDR	INTERSECT
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0	1	1	0	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0	1	1	0	
HALLMARK_TGF_BETA_SIGNALING	0	1	1	0	
HALLMARK_DNA_REPAIR	0	1	1	0	
HALLMARK_ADIPOGENESIS	0	1	1	0	
HALLMARK_ANDROGEN_RESPONSE	0	1	1	0	
HALLMARK_PROTEIN_SECRETION	0	1	1	0	
HALLMARK_INTERFERON_ALPHA_RESPONSE	0	1	1	0	
HALLMARK_INTERFERON_GAMMA_RESPONSE	0	1	1	0	
HALLMARK_APICAL_JUNCTION	0	1	1	0	
HALLMARK_APICAL_SURFACE	0	1	1	0	
HALLMARK_HEDGEHOG_SIGNALING	0	1	1	0	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0	1	1	0	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0	1	1	0	
HALLMARK_XENOBIOTIC_METABOLISM	0	1	1	0	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0	1	1	0	
HALLMARK_GLYCOLYSIS	0	1	1	0	
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	0	1	1	0	
HALLMARK_ANGIOGENESIS	0	1	1	0	
HALLMARK_COAGULATION	0	1	1	0	
HALLMARK_BILE_ACID_METABOLISM	0	1	1	0	
HALLMARK_PEROXISOME	0	1	1	0	
HALLMARK_SPERMATOGENESIS	0	1	1	0	
HALLMARK_KRAS_SIGNALING_UP	0	1	1	0	
HALLMARK_PANCREAS_BETA_CELLS	0	1	1	0	
HALLMARK_HYPOXIA	0.005	0.455336810811395	0.91067362162279	0.0406372429229799	JUN
HALLMARK_MITOTIC_SPINDLE	0.005	0.455336810811395	0.91067362162279	0.0406372429229799	NOTCH2
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.005	0.455336810811395	0.91067362162279	0.0406372429229799	ADD3
HALLMARK_ESTROGEN_RESPONSE_LATE	0.005	0.455336810811395	0.91067362162279	0.0406372429229799	ADD3
HALLMARK_COMPLEMENT	0.005	0.455336810811395	0.91067362162279	0.0406372429229799	CD59
HALLMARK_E2F_TARGETS	0.005	0.455336810811395	0.91067362162279	0.0406372429229799	H2AFZ
HALLMARK_INFLAMMATORY_RESPONSE	0.005	0.455336810811395	0.91067362162279	0.0406372429229799	BTG2
HALLMARK_FATTY_ACID_METABOLISM	0.00632911392405063	0.379740559580392	0.91067362162279	0.0406372429229799	H2AFZ
HALLMARK_HEME_METABOLISM	0.005	0.455336810811395	0.91067362162279	0.0406372429229799	BTG2
HALLMARK_IL2_STAT5_SIGNALING	0.005	0.455336810811395	0.91067362162279	0.0406372429229799	SYNGR2
HALLMARK_ALLOGRAFT_REJECTION	0.005	0.455336810811395	0.91067362162279	0.0406372429229799	EIF3A
HALLMARK_KRAS_SIGNALING_DN	0.005	0.455336810811395	0.91067362162279	0.0406372429229799	BTG2
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.0114942528735632	0.229579146995872	0.882996719214892	0.0540409100458918	JUN
HALLMARK_MYC_TARGETS_V2	0.0172413793103448	0.159111484908415	0.662964520451729	0.178509712898897	PHB
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.01	0.116064100727453	0.527564094215696	0.277724770014659	BTG2,JUN
HALLMARK_APOPTOSIS	0.0124223602484472	0.0801378682920339	0.527564094215696	0.277724770014659	BTG2,JUN
HALLMARK_NOTCH_SIGNALING	0.03125	0.09092336984731	0.527564094215696	0.277724770014659	NOTCH2
HALLMARK_MYOGENESIS	0.01	0.116064100727453	0.527564094215696	0.277724770014659	CNN3,SYNGR2
HALLMARK_P53_PATHWAY	0.01	0.116064100727453	0.527564094215696	0.277724770014659	BTG2,JUN
HALLMARK_G2M_CHECKPOINT	0.015	0.0190361687896742	0.158634739913952	0.799601699106705	H2AFZ,HNRNPU,NOTCH2
HALLMARK_MTORC1_SIGNALING	0.015	0.0190361687896742	0.158634739913952	0.799601699106705	ADD3,BTG2,RPN1
HALLMARK_MYC_TARGETS_V1	0.015	0.0190361687896742	0.158634739913952	0.799601699106705	H2AFZ,HNRNPU,PHB
HALLMARK_UV_RESPONSE_UP	0.0189873417721519	0.010052735588057	0.158634739913952	0.799601699106705	BTG2,HNRNPU,RPN1
HALLMARK_UV_RESPONSE_DN	0.0208333333333333	0.00778212179230527	0.158634739913952	0.799601699106705	ADD3,LAMC1,NOTCH2
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.02	0.0021678070591121	0.108390352955605	0.965009369500469	CD59,JUN,LAMC1,NOTCH2
