NAME	RATIO	NOM_pval	ADJ_pval	NEG_LOG10_FDR	INTERSECT
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.0135135135135135	0.80489753007414	1	0	FADS2
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0	1	1	0	
HALLMARK_DNA_REPAIR	0	1	1	0	
HALLMARK_NOTCH_SIGNALING	0	1	1	0	
HALLMARK_PROTEIN_SECRETION	0	1	1	0	
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.015	0.816382562314229	1	0	CD40,CASP1,CD74
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0	1	1	0	
HALLMARK_INFLAMMATORY_RESPONSE	0.01	0.936248103503348	1	0	ACVR1B,CD40
HALLMARK_GLYCOLYSIS	0.01	0.936248103503348	1	0	B4GALT1,HS2ST1
HALLMARK_BILE_ACID_METABOLISM	0.00892857142857143	0.916631394939371	1	0	FADS2
HALLMARK_SPERMATOGENESIS	0.00740740740740741	0.950353725619623	1	0	NEK2
HALLMARK_KRAS_SIGNALING_DN	0.01	0.936248103503348	1	0	CDKAL1,TCL1A
HALLMARK_PANCREAS_BETA_CELLS	0	1	1	0	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.0176991150442478	0.709087651877813	0.958226556591639	0.0185317971374584	TUBB2A,SLC7A5
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.0206185567010309	0.626874413829831	0.933978185361954	0.0296632673326128	CASP1,CD74
HALLMARK_HEDGEHOG_SIGNALING	0.0277777777777778	0.546844485184641	0.933978185361954	0.0296632673326128	NF1
HALLMARK_E2F_TARGETS	0.02	0.636672085563175	0.933978185361954	0.0296632673326128	TIPIN,DDX39A,MCM4,PA2G4
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	0.0204081632653061	0.660056247926898	0.933978185361954	0.0296632673326128	MBP
HALLMARK_UV_RESPONSE_UP	0.0189873417721519	0.672464293460607	0.933978185361954	0.0296632673326128	CA2,CDKN1C,RRAD
HALLMARK_ANGIOGENESIS	0.0277777777777778	0.546844485184641	0.933978185361954	0.0296632673326128	FSTL1
HALLMARK_COAGULATION	0.0217391304347826	0.580308991721947	0.933978185361954	0.0296632673326128	CTSB,HNF4A,PLEK
HALLMARK_PEROXISOME	0.0192307692307692	0.664847588639246	0.933978185361954	0.0296632673326128	ABCB4,CRAT
HALLMARK_KRAS_SIGNALING_UP	0.02	0.636672085563175	0.933978185361954	0.0296632673326128	CA2,JUP,TMEM176B,SPON1
HALLMARK_APOPTOSIS	0.0248447204968944	0.463660178985815	0.858629961084843	0.0661939612947389	BAX,BGN,ERBB2,CASP1
