"Intersections","Degree","Observed.Overlap","Expected.Overlap","FE","P.value","Elements"
"AG",1,128,NA,NA,NA,"ABCB4, ACP5, ACVR1B, ADAM28, AMBRA1, ANGPT1, ARMC9, ARSA, ASB9, B4GALT1, BAIAP2, BAX, BTNL3, C1GALT1, CA2, CAPG, CARS2, CCL4, CD101, CD22, CD300A, CD8A, CD8B, CDKAL1, CDKN1C, COCH, COX15, CPNE1, CTSB, CYP27A1, DACT1, DHRS9, DIP2C, DOK4, EFHD1, EIF2S3, ELOVL6, ETV7, FADS2, FAM118A, FCER1A, FKTN, FLRT3, FOLR3, FSTL1, GLTP, GM2A, GNA11, GSTT1, GYPB, HAMP, HIST1H1C, HLA-DOB, HOXB2, IGF1R, IGLC1, JUP, KANK1, KDM5A, KIAA0226L, KLRG1, KRT23, LAD1, LAPTM4B, LOC100127972, LOC100996756, LOC202181, LONRF1, LPL, MAK, MBP, MEIS1, MID1, MSC, MYOM2, NCAPG2, NKX3-1, NLRP2, NSUN3, OLFM1, ORM1, OSBPL10, PCGF3, PCSK5, PDE9A, PGM1, PKIG, PLA2G16, PLA2G4C, PLA2G7, PTPRN2, QRSL1, RAB29, RALGPS1, RALYL, RBP4, RFC5, RHD, RNASE3, RND3, RPL37A, RRN3P1, S100B, SCO2, SDHD, SEMG1, SHISA6, SLC11A1, SLC22A1, SMC2, SPON1, ST14, SV2C, SYNJ2, TCL1A, TENM1, TIPIN, TMEM176B, TMEM97, TPPP3, TPT1P8, TSPAN13, TUBB2A, UQCRB, VPREB3, VSX1, ZCCHC4, ZNF493"
"CW",1,1392,NA,NA,NA,"AARS, ABAT, ABCA3, ABCB11, ABCB6, ABCB7, ABCC1, ABCD2, ABCE1, ABCG4, ABHD2, ABHD4, ABHD6, ABI1, ABLIM1, ABR, ACAA2, ACADL, ACADM, ACADSB, ACAT1, ACAT2, ACHE, ACO2, ACP1, ACP5, ACRV1, ACSL4, ACSL5, ACSM1, ACTA1, ACTC1, ACTL7B, ACTN2, ACVR1B, ADAM12, ADCY9, ADCYAP1, ADD3, ADGRL2, ADH1C, ADIPOQ, ADIPOR2, ADORA2B, ADRA2C, ADSL, AEBP1, AFF1, AFG3L2, AGER, AGGF1, AGL, AGRN, AHSP, AIMP2, AK1, AK2, AKAP10, AKAP13, AKR1B10, AKT2, AKT3, ALAD, ALAS1, ALAS2, ALDH3A2, ALDH3B1, ALDH7A1, ALDH9A1, ALDOB, ALOX15B, AMBN, AMD1, ANGPTL3, ANK1, ANKRD2, ANXA2, AOX1, AP3S1, APBB2, APEX1, APLNR, APLP1, APOA4, APOC1, APP, ARF6, ARFGEF1, ARHGAP10, ARHGDIA, ARHGEF12, ARHGEF2, ARHGEF7, ARHGEF9, ARPP19, ARPP21, ARTN, ASB7, ASCL1, ATF3, ATG4B, ATP2A2, ATP2B1, ATP2C1, ATP4A, ATP5A1, ATP5B, ATP5C1, ATP5F1, ATP5G1, ATP5G2, ATP5G3, ATP5H, ATP5J, ATP5L, ATP5O, ATP6AP1, ATP6V0B, ATP6V1E1, ATP6V1F, ATP7A, ATRX, AUH, AURKA, B4GALT1, B4GALT5, BAG1, BAIAP2, BAK1, BATF, BATF3, BAX, BCAM, BCAN, BCAT1, BCKDHB, BCL10, BCL2, BCL2A1, BCL2L1, BCL6, BCR, BDKRB2, BGN, BHLHE40, BIK, BIN1, BIRC2, BIRC3, BIRC5, BLVRA, BLVRB, BMP1, BMP2, BMP2K, BMPR1B, BMPR2, BNIP3L, BSG, BTG1, BTG2, BTG3, BUB1, BUB3, C1QA, C1QBP, C1R, C1S, C5, C9, CA1, CA2, CACNA1F, CACNG1, CADM1, CALCB, CALD1, CALML5, CAMKK2, CANX, CAPN9, CAPZB, CASP1, CASP4, CASP6, CASP8AP2, CAT, CAV1, CAVIN3, CBX1, CBX3, CBX5, CCL2, CCL20, CCL4, CCL5, CCNA1, CCNA2, CCND1, CCND2, CCNE1, CCNF, CCNG2, CCR5, CCR8, CCRL2, CCT2, CCT3, CCT4, CCT7, CD2, CD207, CD28, CD36, CD40, CD44, CD46, CD47, CD55, CD59, CD69, CD74, CD79A, CD80, CD83, CD8A, CD8B, CDA, CDC25B, CDC27, CDC42BPA, CDC42EP1, CDC42EP2, CDC45, CDC6, CDH1, CDH13, CDH16, CDH6, CDK1, CDK2, CDK4, CDK5R1, CDKAL1, CDKN1A, CDKN1B, CDKN1C, CDKN2A, CDKN2B, CEBPB, CEBPD, CELF2, CELSR2, CENPJ, CENPM, CENPN, CFB, CFLAR, CHPT1, CHRNG, CHST1, CHST8, CKAP4, CKAP5, CKB, CKM, CLASP1, CLCA2, CLCF1, CLCN3, CLDN16, CLNS1A, CLPS, CLSTN3, CLU, CMPK1, CNBP, CNDP2, CNN3, CNOT9, CNTFR, CNTRL, COL11A1, COL16A1, COL1A1, COL1A2, COL2A1, COL3A1, COL4A2, COL5A1, COL5A2, COL6A1, COL6A2, COL6A3, COL7A1, COL8A2, COPS5, COPZ2, COX11, COX15, COX4I1, COX5A, COX5B, COX6A1, COX6C, COX7A2, COX7A2L, COX7B, COX7C, COX8A, CP, CPA2, CPB1, CPM, CPOX, CPT1A, CR1, CRAT, CRLF1, CROT, CRTAM, CRYZ, CSF1, CSF2, CSK, CSNK1D, CSTF2, CTCF, CTF1, CTH, CTSB, CTSD, CTSE, CTSF, CTSS, CTTN, CUL1, CUL4A, CXCL10, CXCL11, CXCL12, CXCL2, CXCR3, CXCR4, CYB5A, CYC1, CYCS, CYFIP1, CYFIP2, CYP11B2, CYP2C18, CYP4A11, CYR61, CYTH2, DBF4, DBT, DCAF11, DCC, DCN, DCXR, DDIT3, DDIT4, DDX18, DDX21, DDX39A, DDX58, DECR1, DEK, DENND5A, DHCR7, DHPS, DHRS1, DHX15, DIAPH3, DLAT, DLD, DLG1, DLK2, DMD, DMRT1, DNAJB4, DNAJB9, DNAJC1, DOCK9, DPYSL4, DR1, DRAM1, DST, DTNA, DUSP1, DUSP2, DUSP4, DUSP6, DUT, DYNC1H1, DYRK1A, E2F2, E2F8, ECH1, ECHS1, ECI1, ECM2, EDN2, EFEMP2, EFNA5, EFS, EGF, EGFR, EGR1, EHD1, EI24, EIF1, EIF1AX, EIF2AK1, EIF2S1, EIF3A, EIF3B, EIF3D, EIF3J, EIF4E, EIF4G2, EIF4H, ELANE, ELN, ELOVL5, ELOVL6, EMP1, ENO1, ENPEP, ENPP2, ENTPD7, EPB41, EPB42, EPHA2, EPHA5, EPHB3, EPHX1, EPOR, EPRS, ERBB2, ERH, ERMAP, ESR1, ESYT1, ETF1, ETFA, ETFB, ETFDH, ETS2, ETV4, EWSR1, EXOSC7, EXT1, EZH1, EZH2, EZR, F10, F2, F2R, F2RL1, F2RL2, F3, F5, F7, FABP3, FAH, FAM120A, FAM46C, FARP1, FASLG, FBL, FBLN1, FBLN2, FBXO5, FBXO9, FCER1G, FDFT1, FDX1, FDXR, FECH, FERMT2, FGF16, FGF2, FGF22, FH, FHL1, FJX1, FKBP1B, FKBP4, FKBP5, FLNA, FMO1, FMOD, FN1, FOS, FOSL1, FOSL2, FOXC1, FOXC2, FOXO4, FSCN1, FSHB, FST, FSTL1, FSTL3, FTCD, FURIN, FUT8, FYN, G3BP1, G3BP2, G6PC, GAA, GABARAPL1, GADD45A, GADD45B, GALNT1, GAPDHS, GAPVD1, GATA1, GCNT1, GDNF, GEMIN4, GJA1, GLA, GLCE, GLMN, GLO1, GLRX, GLRX5, GLS2, GLUD1, GM2A, GMFB, GNAI3, GNAO1, GP2, GPC3, GPR182, GPR183, GPR19, GPR3, GPRC5C, GRHPR, GRID2, GRM8, GRPEL1, GSN, GSPT1, GSR, GSTA3, GYPA, GYPB, GYPC, GYPE, GYS2, GZMA, GZMB, H1F0, H2AFV, H2AFY2, H2AFZ, HADH, HADHB, HAX1, HBBP1, HBD, HBEGF, HBQ1, HCCS, HDAC2, HDAC5, HDAC6, HDAC9, HDDC2, HDGF, HELLS, HES1, HEXIM1, HIST1H1C, HIST3H2A, HK2, HLA-DMA, HLA-DOB, HLA-DQA1, HLA-G, HMBS, HMGA1, HMGB3, HMGCR, HMGCS1, HMGN2, HMOX1, HNF1A, HNF4A, HNRNPA1, HNRNPA2B1, HNRNPA3, HNRNPC, HNRNPD, HNRNPR, HNRNPU, HOMER1, HPCAL4, HPGD, HPRT1, HR, HS2ST1, HS3ST1, HSD11B2, HSD17B10, HSD17B7, HSP90AB1, HSPA4L, HSPA9, HSPB2, HSPB8, HSPD1, HSPE1, HTR1B, HTR5A, HTRA1, HTRA2, HUS1, IARS, ICA1, ICAM1, ICOSLG, ID1, ID3, IDH2, IDH3B, IDUA, IER2, IER3, IER5, IFIH1, IFNG, IFRD1, IGF1, IGF1R, IGF2R, IGFBP2, IGFBP3, IGFBP5, IKBKB, IKZF2, IL11, IL13, IL16, IL18, IL1A, IL23A, IL2RA, IL3RA, IL4R, IL5, IL6, IL6ST, IL7R, ILF2, ILF3, IMPDH2, INCENP, INHBA, INHBB, INPP4B, INSIG1, INSL5, IRS2, IRS4, ISCA1, ISCU, ITGA5, ITGA7, ITGB3, ITGB4, ITGB5, ITIH3, ITIH5, ITPK1, JAG1, JAK2, JMJD6, JUN, JUP, KARS, KATNB1, KCND1, KCNH2, KCNN1, KCNQ2, KEL, KHNYN, KIF11, KIF22, KIF2A, KIF2C, KIF3C, KIF4A, KIFC3, KIT, KLC1, KLF1, KLF10, KLF3, KLF4, KLF5, KLF6, KLF9, KLHDC8A, KLK1, KLK11, KLK2, KLK7, KLK8, KLKB1, KPNA2, KPNB1, KRT1, KRT13, KRT15, KRT4, KRT5, KRT8, KYNU, LAMA1, LAMA2, LAMC1, LAMC2, LAMP2, LARGE1, LCK, LDB3, LDHA, LDHB, LDHC, LDLR, LIF, LIFR, LLGL1, LOX, LOXL1, LPAR1, LPIN1, LPIN2, LRP1, LRP10, LRPPRC, LSM2, LSM7, LTB, LUC7L3, LUM, LYN, MAD2L1, MAF, MAFF, MAGI2, MAK, MAP2K5, MAP3K8, MAP4K1, MAPK14, MAPRE1, MAPRE3, MAPT, MARCH6, MARCH8, MARCKS, MARK4, MAST2, MAST3, MCCC1, MCL1, MCM2, MCM4, MCM5, MCM7, MDH1, MDH2, MDK, MDM2, ME1, MEF2D, MEFV, MEIS2, MERTK, METAP1, MGLL, MGST3, MKI67, MKRN1, MLF1, MLLT10, MMP13, MMP14, MMP15, MMP16, MPP1, MRPL11, MRPL15, MRPL23, MRPL34, MRPL35, MRPL9, MRPS11, MRPS12, MRPS15, MRPS18B, MRPS22, MRPS30, MT1E, MT2A, MTA1, MTF2, MTHFD1, MTHFR, MTRF1, MTRR, MTX2, MUC1, MYBPH, MYF6, MYH11, MYH3, MYH7, MYH8, MYH9, MYL4, MYL6B, MYL7, MYLK, MYLPF, MYO1E, MYO9B, MYOG, NAMPT, NAP1L1, NASP, NCAM1, NCBP1, NCBP2, NCK1, NCL, NCOA3, NCOR2, NDRG1, NDUFA2, NDUFA4, NDUFA5, NDUFA6, NDUFA8, NDUFAB1, NDUFB1, NDUFB2, NDUFB4, NDUFB5, NDUFB7, NDUFB8, NDUFC1, NDUFS3, NDUFS4, NDUFS6, NDUFS7, NDUFV1, NDUFV2, NEDD9, NEK2, NEK7, NF1, NFAT5, NFE2, NFE2L2, NFIL3, NFKBIA, NFS1, NGB, NHP2, NINJ1, NLRP3, NME1, NOLC1, NOP16, NOS1, NOTCH2, NPHP1, NPHS1, NPM1, NQO1, NR1D2, NR3C1, NR4A1, NR4A2, NR4A3, NR6A1, NRIP2, NSD2, NTF3, NUMA1, NUPR1, OAT, OAZ3, OCEL1, OPA1, OPHN1, OPTN, ORC2, ORC6, OSBP2, OSGIN1, OXA1L, OXT, P2RX6, P2RY4, P4HA1, P4HA2, PA2G4, PAFAH1B1, PAICS, PANX1, PAPD7, PAPSS2, PAX3, PAX4, PC, PCDHB1, PCLO, PCNA, PCNT, PCP4, PDCD1, PDE4B, PDGFA, PDHA1, PDHB, PDHX, PDK2, PDK4, PDLIM4, PDLIM5, PDLIM7, PFKFB3, PGAM2, PGD, PGK1, PGLS, PGM1, PHB, PHB2, PHF3, PHLDA1, PHLDA2, PHYH, PICK1, PIGQ, PIK3CD, PIK3R3, PIK3R5, PIM1, PITPNC1, PKP1, PKP2, PLA2G16, PLAU, PLAUR, PLEC, PLEK, PLK3, PLOD1, PLPP3, PLXNB1, PLXNB2, PMEPA1, PMM1, PMP22, PMPCA, PNMT, POLA2, POLD2, POLE3, POLH, POLQ, POLR2F, POLR3K, POM121, POP7, PPARGC1A, PPFIA4, PPIA, PPIF, PPM1A, PPM1B, PPM1G, PPP1R15A, PPP2R5B, PQLC1, PQLC3, PRC1, PRCP, PRDX2, PRDX3, PRDX4, PRIM2, PRKAB1, PRKCA, PRKCE, PRKDC, PRMT2, PRMT5, PROP1, PRPF4B, PRPS2, PRSS3, PSEN1, PSEN2, PSMA1, PSMA2, PSMA4, PSMA7, PSMB2, PSMB3, PSMC4, PSMC6, PSMD1, PSMD14, PSMD3, PSMD8, PSME1, PTEN, PTGER3, PTGER4, PTGES3, PTGFR, PTGIS, PTGS2, PTK2B, PTP4A3, PTPN21, PTPRE, PTPRM, PTTG3P, PVR, PWP1, PXN, RAB3GAP1, RAB40C, RABGAP1L, RACGAP1, RAD21, RAD23A, RAD23B, RAD51C, RALGDS, RAN, RANBP1, RANBP10, RANBP9, RAP1GAP, RARS, RASAL2, RBL1, RBM38, RBM5, RBPJ, RCAN1, RCE1, RDH11, REEP1, REL, RELA, RETN, RFC4, RGS11, RGS16, RHAG, RHOB, RHOT1, RHOT2, RIOK3, RIPK2, RNF123, RNF19A, RNF19B, RNH1, RNPS1, RPL14, RPL18, RPL22, RPL34, RPL6, RPLP0, RPS10, RPS12, RPS19, RPS3, RPS5, RPS6, RPS6KA2, RPS6KA5, RRAD, RRM1, RRP12, RRP9, RSL1D1, RUVBL2, RXRA, RYR2, S100A12, S100A4, SAMM50, SAR1B, SAT1, SCARB1, SCD, SCGB1A1, SCN10A, SCN9A, SCNN1A, SCUBE2, SDC1, SDCBP, SDHA, SDHC, SDHD, SEC14L1, SEC61A1, SELENBP1, SERBP1, SERPINA10, SERPINB2, SERPINE1, SF3B3, SFMBT1, SFPQ, SGCA, SGK1, SHMT1, SHMT2, SHOX2, SIAH2, SIRT2, SIRT6, SIT1, SKIL, SLC12A2, SLC12A3, SLC16A1, SLC16A6, SLC1A5, SLC25A12, SLC25A13, SLC25A20, SLC25A23, SLC25A3, SLC25A37, SLC25A4, SLC25A5, SLC25A6, SLC29A3, SLC2A1, SLC2A3, SLC2A5, SLC30A3, SLC35A3, SLC35B1, SLC35D1, SLC37A4, SLC38A1, SLC38A3, SLC4A1, SLC5A5, SLC5A6, SLC6A3, SLC6A8, SLC6A9, SLC7A1, SLC7A5, SMAD3, SMARCC1, SMC1A, SMC2, SMC3, SMC4, SMOX, SMPX, SMS, SMTN, SMURF1, SNCA, SNCB, SNRPA, SNRPA1, SNRPD1, SNRPD2, SNRPG, SOCS1, SOCS3, SOCS5, SOD3, SORBS1, SORBS3, SOX10, SOX3, SOX9, SP1, SPAG4, SPAG5, SPC25, SPDEF, SPHK2, SPOP, SPSB1, SPTA1, SPTAN1, SPTB, SPTBN1, SPTBN2, SQSTM1, SRC, SRF, SRI, SRM, SRP19, SRPK1, SRSF1, SRSF10, SRSF3, SRSF7, SS18, SSB, SSBP1, SSPN, SSTR4, ST14, STAG3, STARD7, STAT1, STC1, STC2, STEAP3, STIL, STMN1, STOM, SUCLA2, SUCLG1, SUCLG2, SUPV3L1, SURF1, SVIL, SYNCRIP, SYNJ2, TAL1, TANK, TAOK2, TARDBP, TBCD, TCAP, TCF7L1, TCHH, TCN2, TDO2, TEAD4, TEX15, TFAP2B, TFF2, TFPI, TFPI2, TFRC, TG, TGFA, TGFB1, TGFB2, TGFBR2, TGFBR3, TGIF1, TGM1, TGM2, THBS1, THBS2, THNSL2, THY1, TIAM1, TIMM10, TIMM13, TIMM17A, TIMM8B, TIMM9, TIPARP, TIPIN, TJP3, TK1, TLR1, TLX1, TMCC2, TMEM176B, TNFAIP2, TNFAIP3, TNFAIP8, TNFRSF12A, TNFRSF21, TNFRSF8, TNFSF9, TNIP1, TNNC1, TNNI1, TNNT1, TNNT2, TNNT3, TNP1, TNS1, TOGARAM1, TOMM22, TOMM70, TOP1, TOP2A, TP63, TPD52, TPD52L1, TPI1, TPM1, TPM2, TPM4, TPST1, TRA2B, TRAF4, TRAIP, TRAK2, TRIB1, TRIM10, TRIM29, TRIM58, TSC2, TSHB, TSPAN5, TSPO2, TUBB2A, TUBGCP2, TUBGCP3, TXN, TXNIP, TXNL4A, TYMS, U2AF1, UBA2, UBAC1, UBE2D1, UBE2E1, UBE2L3, UCP2, UGDH, UGP2, UQCR10, UQCRC2, UQCRFS1, UQCRQ, UROD, USP1, VBP1, VCAN, VCPIP1, VDAC1, VDAC2, VDAC3, VDR, VEGFA, VLDLR, VNN1, VWA5A, WAS, WNT5A, WRN, XDH, XPC, XPNPEP1, XPO1, XPO7, XPOT, XRCC3, XRCC6, YBX2, YRDC, YTHDC1, YWHAE, YWHAH, YWHAQ, ZBTB16, ZFP36L1, ZFPM2, ZNF292, ZNRF4, ZPBP"
"CW & AG",2,31,12.8982191979152,2.40343256106322,2.73093022043621e-06,"ACP5, ACVR1B, B4GALT1, BAIAP2, BAX, CA2, CCL4, CD8A, CD8B, CDKAL1, CDKN1C, COX15, CTSB, ELOVL6, FSTL1, GM2A, GYPB, HIST1H1C, HLA-DOB, IGF1R, JUP, MAK, PGM1, PLA2G16, SDHD, SMC2, ST14, SYNJ2, TIPIN, TMEM176B, TUBB2A"
"TX",1,27,NA,NA,NA,"ACP5, CCL4, CCR3, CLIC3, CPA3, CST7, CTSE, DUSP22, EFNA4, FAR2, FCER1A, GGCT, GID8, HIST1H1C, IL18RAP, IL2RB, MOK, MS4A3, MYOM2, OR7E14P, RBBP5, RNF123, S100B, SLC14A1, SLC7A5, TCN1, TSPAN7"
"TX & AG",2,6,0.25018097582163,23.9826388888889,1.41976955267947e-07,"ACP5, CCL4, FCER1A, HIST1H1C, MYOM2, S100B"
"TX & CW",2,6,2.72071811206023,2.20530012771392,0.0483924249643417,"ACP5, CCL4, CTSE, HIST1H1C, RNF123, SLC7A5"
"TX & CW & AG",3,3,0.0252100708226227,119.000062360313,2.28369674236204e-06,"ACP5, CCL4, HIST1H1C"
"SS",1,250,NA,NA,NA,"ABCB4, ABO, ACACA, ACP5, ACP6, ACTL6B, ADAM17, ADAT1, ADIPOR2, AGA, AMBP, ANAPC5, ANGPT2, AP3D1, APOBEC3F, APOE, ARSD, ASMTL, ASXL1, ATP6V0E1, ATP6V1G2, ATRX, BCL2A1, BGN, BRD4, C1ORF54, C2ORF42, CACNA1E, CAMK1D, CAP1, CD22, CD24, CD40, CD79B, CDCA8, CES3, CHAF1A, CLCN4, CLCN7, CLTA, COCH, COQ6, COQ8B, COX15, CRAT, CROCCP3, CSTF2T, CTSB, CXCR5, DDX39A, DNAJB1, DNAJB12, DNASE2, DPY19L1P1, DYNLRB1, E2F2, EEF1A2, EIF4B, EIF4H, ELOA, ENDOG, ENOSF1, ERBB2, ERICH1, ESR1, ETV1, EZR, F7, FADS2, FAM214B, FSTL3, FXYD7, GADD45G, GALK2, GAS2L1, GAS7, GGA2, GLIPR1, GLRB, GLTP, GM2A, GNL3L, GOSR2, GRHPR, GSTT1, GYPA, GYPE, HAMP, HGF, HIGD2A, HIPK1, HIST3H2A, HLA-DOB, HLA-DRB4, HNF4A, HRASLS2, HSD17B6, HTR2C, HUWE1, IDH3B, IGF1, IGHM, IGK, IGKC, IGLC1, IL16, IL18RAP, INPP5F, INTS1, INVS, IQCB1, ITPKB, JUP, KANK2, KANK3, KDM4C, LIMS2, LINC01963, LMNA, LTA4H, LTB, MAG, MAP2K7, MARCH6, MASP2, MBP, MCM4, MED1, MED13, MED16, MED25, MEP1B, METTL17, MORN1, MPPE1, MRPL49, MTCH1, MUC5AC, MYH11, MYH14, MYO1B, MYOM2, NAV2, NDUFA10, NDUFB7, NEK2, NF1, NFIC, NFYA, NGDN, NIPA2, NKX3-1, NR3C1, NUPL2, OAS1, OR2W1, OTC, PA2G4, PCGF3, PDCD11, PDCD6, PDLIM5, PDP1, PHC1, PIH1D1, PIR, PKNOX1, PLA2G16, PLEK, POLR2C, POU2AF1, PPP2R2A, PRKY, PRMT2, PRPF31, PTPA, PTPRF, PXDC1, QRSL1, RAB2A, RAB8A, RCHY1, RHD, RHO, RNASE6, RPL37A, RPL38, RPS19, RRAD, RRH, RUBCNL, SAV1, SCAND2P, SCT, SDC3, SEC16A, SERPINB6, SFPQ, SH3BP5, SMAD3, SNRNP40, SNX5, SNX6, SORBS3, SPON1, SRRT, STK11, SULT1C2, SYNJ2, SYT12, TADA3, TAOK3, TBC1D17, TCF7L2, TCL1A, TCP11L1, TINF2, TK2, TLK1, TMEM121, TMEM39B, TP53, TPD52L1, TPPP, TPPP3, TRAP1, TRAPPC3, TRAPPC9, TRIM3, TRIM5, TSPAN8, TTC12, UBE2L3, UBIAD1, VAC14, VPREB3, VSIG4, WASL, WISP3, WNK1, XAF1, YLPM1, ZBTB7A, ZER1, ZKSCAN4, ZMYM4, ZNF142, ZNF211, ZNF764, ZNF804A"
"SS & AG",2,27,2.31649051686695,11.6555625,1.65156680579208e-21,"ABCB4, ACP5, CD22, COCH, COX15, CTSB, FADS2, GLTP, GM2A, GSTT1, HAMP, HLA-DOB, IGLC1, JUP, MBP, MYOM2, NKX3-1, PCGF3, PLA2G16, QRSL1, RHD, RPL37A, SPON1, SYNJ2, TCL1A, TPPP3, VPREB3"
"SS & CW",2,49,25.191834370928,1.94507471264368,3.71500983917747e-06,"ACP5, ADIPOR2, ATRX, BCL2A1, BGN, CD40, COX15, CRAT, CTSB, DDX39A, E2F2, EIF4H, ERBB2, ESR1, EZR, F7, FSTL3, GM2A, GRHPR, GYPA, GYPE, HIST3H2A, HLA-DOB, HNF4A, IDH3B, IGF1, IL16, JUP, LTB, MARCH6, MCM4, MYH11, NDUFB7, NEK2, NF1, NR3C1, PA2G4, PDLIM5, PLA2G16, PLEK, PRMT2, RPS19, RRAD, SFPQ, SMAD3, SORBS3, SYNJ2, TPD52L1, UBE2L3"
