"Intersections","Degree","Observed.Overlap","Expected.Overlap","FE","P.value","Elements"
"AG",1,245,NA,NA,NA,"ABCB1, ABCG1, ACPP, ACVR1B, ADCY9, ADGRG2, AK4, AKAP10, AKAP9, ANOS1, AP3B2, ARG2, ARHGEF12, ARSD, ART1, ASB7, ATXN1, BACH1, BAIAP2, BAZ1B, BEX1, BMP6, BUB1, C1orf115, C1QA, C2, CACNA1A, CACNA1I, CAMK2N1, CAMTA1, CASP4, CD151, CD163, CD244, CD3EAP, CD47, CEACAM21, CEMP1, CES3, CFAP44, CFH, CHI3L1, CHN2, CLEC10A, CNTNAP2, COBLL1, COL17A1, CRAT, CRBN, CRISP3, CYP2R1, DACT1, DEFA4, DENND1A, DENND5B, DEPTOR, DHRS9, DLAT, DLEU2, DLGAP5, DNM1, DNPH1, DPH5, DSCAM, DYNC1LI1, EDA, EIF2AK1, EIF5A, ELANE, ELF5, EMP1, EP300, EPHA1, EPHB3, ETFDH, FBLN5, FCGBP, FGF13, FKBP8, GABARAPL2, GATA2, GATM, GCAT, GFI1, GLRA2, GLRX2, GM2A, GPR19, GPRC5C, GRAMD1C, GRIN1, GSTM1, GSTM2, GSTM3, HAAO, HBEGF, HDC, HDDC2, HERC2, HEY1, HGF, HIF1A, HIST1H1B, HIST1H4D, HIST2H2BE, HIST3H2A, HLA-DPA1, HLA-DPB1, HLA-DRB4, HMBOX1, HOXB2, HS3ST1, IFNG, IGK, IGKC, IL18RAP, IL2RA, IQCB1, JAK3, KCNQ3, KRT1, LAMA4, LAMP5, LAPTM4B, LILRA1, LILRA4, LIMK1, LINC00328, LINC01260, LIPA, LIPC, LOC100505915, LOC100996756, LOC389906, LRP1, LRP8, MAP2K5, MAZ, MDM4, MEG3, MEOX1, METTL21B, MGP, MICB, MMP8, MMP9, MRC1, MS4A2, MUC8, MYBPC3, MYO5C, NAP1L2, NEFH, NEFL, NETO2, NME4, NOD2, NQO2, NRCAM, P2RX1, P2RY2, PARVB, PDHB, PDLIM2, PFDN4, PGLYRP1, PHC3, PI3, PIGB, PIM1, PLEKHM1, PMP22, PNMAL1, POLL, POU5F1P4, PPA1, PRDX6, PRKD3, PRSS21, PSMD5, PTENP1, PTGDS, PTGER3, PTPRJ, PVRL2, RABEP1, RABGAP1L, RBM6, RHD, RHOBTB1, RLN2, RNF123, ROBO1, RPH3AL, RPL3, RUNDC3A, RWDD2B, RYBP, SAV1, SBNO1, SCAND2P, SCAPER, SCD, SERINC2, SERPINE2, SETD6, SFRP1, SIRT5, SLC15A1, SLC7A1, SLC7A5, SLC8A2, SMIM10L1, SNX16, SOCS2, SPG20, SPRED2, SREK1IP1, SSR3, STARD8, STYXL1, SUPT3H, SUSD4, SYNGR1, TDRD1, TNFRSF21, TNPO2, TREM1, TRIM2, TRIM5, TSPAN4, TUBB6, UGDH, USP48, UTS2, VNN1, WEE1, ZFP36L1, ZNF185, ZNF204P, ZNF230, ZNF24, ZNF345, ZNF430, ZNF442"
"CW",1,1384,NA,NA,NA,"ABCA1, ABCA2, ABCA3, ABCA6, ABCB1, ABCB11, ABCB6, ABCB7, ABCC2, ABCD1, ABCD3, ABCG2, ABCG4, ABHD2, ABLIM1, ACAA1, ACAA2, ACADM, ACADSB, ACAT1, ACHE, ACOX1, ACOX2, ACOX3, ACP5, ACSL5, ACSL6, ACTA1, ACTC1, ACTN2, ACTN3, ADAM12, ADAM8, ADAMDEC1, ADCY9, ADD1, ADD2, ADD3, ADGRA2, ADIPOR1, ADORA2B, AEBP1, AFF1, AFG3L2, AGL, AGPAT4, AGRN, AGXT, AHSP, AIFM1, AIMP2, AK1, AK4, AKAP12, AKR1A1, AKR1B10, AKR1C2, AKR1D1, AKT2, ALAD, ALAS1, ALAS2, ALDH1A1, ALDH1L1, ALDH2, ALDH3B1, ALDH6A1, ALDH7A1, ALDH9A1, ALDOB, ALOX12B, AMD1, AMFR, ANK1, ANKRD2, ANKZF1, ANO1, ANXA10, ANXA2, ANXA5, ANXA9, AP2S1, APBB2, APEX1, APOA1, APOA4, APOC1, APOD, APOE, APP, AQP3, AR, AREG, ARG2, ARHGDIG, ARHGEF12, ARID4A, ARL2BP, ARPP19, ARPP21, ASCL1, ASNS, ATG4A, ATP1B1, ATP2A2, ATP2B4, ATP4A, ATP5A1, ATP5C1, ATP5D, ATP5E, ATP5F1, ATP5G3, ATP5H, ATP5J, ATP5L, ATP5O, ATP6AP1, ATP6V0A1, ATP6V0E1, ATP6V1C1, ATP6V1D, ATP6V1E1, ATP6V1F, ATP6V1G1, ATRX, ATXN1, AVL9, B2M, B4GALT1, B4GALT4, B4GALT5, BAG1, BAK1, BARD1, BATF, BCAM, BCAT1, BCKDHB, BCL2, BCL6, BDH2, BDKRB2, BHLHE40, BIK, BIN1, BIRC5, BLVRB, BMP2, BMP2K, BMP6, BMPR1A, BNIP3L, BPGM, BPNT1, BRCA2, BRDT, BSG, BST2, BTC, BTG1, BTG2, BTG3, BUB3, BYSL, C1QA, C1R, C1S, C2, C3, C4BPB, C5, C9, CA1, CA12, CAB39L, CACNA1F, CACNA1H, CACNA2D2, CACNG1, CALCB, CALCR, CALML5, CAMK1D, CAMK2B, CAPN5, CAPN9, CASP1, CASP10, CASP4, CASP6, CASP7, CASP8, CASP8AP2, CASP9, CAST, CAT, CAV3, CBL, CBLB, CBX1, CBX3, CCL20, CCL4, CCL5, CCL7, CCNA1, CCND1, CCND2, CCND3, CCR1, CCR8, CCT2, CCT5, CD207, CD36, CD3G, CD4, CD40, CD40LG, CD44, CD46, CD69, CD7, CD79A, CD80, CDA, CDADC1, CDC20, CDC27, CDC42BPA, CDC5L, CDC6, CDH13, CDH16, CDK1, CDK2, CDK4, CDK5R1, CDKAL1, CDKN1A, CDKN1B, CDKN2A, CEBPB, CEBPD, CELSR2, CENPA, CENPF, CFB, CFLAR, CFP, CHPT1, CHRNA1, CHRNA5, CHRNG, CHST2, CHST8, CIDEA, CIR1, CISH, CKB, CKM, CKMT2, CLCN2, CLCN3, CLDN16, CLDN8, CLDN9, CLEC4A, CLIC2, CLIC3, CLN6, CLPS, CLSTN3, CLU, CMKLR1, CNBP, CNTFR, COL15A1, COL1A1, COL2A1, COL3A1, COL4A2, COL5A1, COL5A2, COL6A2, COL6A3, COMT, COPZ2, COX11, COX15, COX4I1, COX5A, COX5B, COX6A1, COX6A2, COX6B1, COX6C, COX7A1, COX7A2, COX7A2L, COX7B, COX7C, COX8A, CPA2, CPE, CPEB3, CPM, CPT1A, CR1, CRAT, CROCCP2, CRP, CRYAB, CSAD, CSF1, CSF2, CSRP3, CSTF2, CTF1, CTSB, CTSC, CTSD, CTSS, CUL3, CUL4A, CUL5, CXCL1, CXCL10, CXCL11, CXCL12, CXCL14, CXCL2, CXCL3, CXCL6, CXCR4, CYB5A, CYB5B, CYB5R3, CYC1, CYCS, CYP11B2, CYP26A1, CYP27A1, CYP2J2, CYP7A1, DAAM1, DAPK2, DCAF10, DCAF11, DCBLD2, DCC, DCUN1D1, DDC, DDIT4, DDX18, DDX21, DECR1, DEPDC1, DES, DHCR24, DHCR7, DHPS, DHRS2, DHRS7, DIO1, DIO2, DLAT, DLD, DLG4, DLG5, DLK2, DMD, DMPK, DNAJB4, DNAJC12, DNMBP, DOCK2, DOCK9, DPP4, DR1, DTNA, DTNB, DTYMK, DUSP1, DUSP5, E2F2, ECH1, ECHS1, ECI1, EDAR, EDN1, EFHC1, EFHD1, EFS, EGF, EGR1, EGR2, EHD1, EIF1, EIF2AK1, EIF2S1, EIF3A, EIF3D, EIF4G3, ELF4, ELL2, ELOVL5, EMP1, EMP2, ENDOD1, ENG, EPB41, EPB42, EPCAM, EPHA5, EPHB2, EPHB3, EPHX1, EPHX2, EPRS, ERBB3, EREG, ERH, ERMAP, ETFA, ETFB, ETFDH, ETS1, ETS2, ETV1, ETV5, EVI5, EWSR1, EXOSC7, EXT2, EZH1, EZH2, F10, F2, F3, F5, F7, FABP1, FABP3, FADS2, FAM102A, FAM162A, FAM46C, FARP1, FARSA, FBLN1, FBXO34, FBXO4, FBXO5, FBXO7, FBXO9, FDX1, FDXR, FECH, FEN1, FGF18, FGF22, FGF9, FGFR3, FH, FHL1, FKBP1B, FKBP4, FLII, FLNA, FLNB, FLT4, FN1, FN3K, FOS, FOSL2, FOXC1, FOXJ2, FOXO3, FOXO4, FSHB, FXN, FYB, FYN, G0S2, G3BP1, G6PC, GADD45B, GADD45G, GAL, GAMT, GAPVD1, GART, GATA1, GATA3, GBP2, GCLC, GCLM, GCNT2, GDE1, GDNF, GJA5, GJB3, GLA, GLCE, GLRX, GLRX5, GLUD1, GMPS, GNAO1, GNB2, GNMT, GP1BA, GP2, GP9, GPD2, GPR19, GPR87, GPRC5B, GPRC5C, GPX3, GPX4, GRID2, GRK5, GRPEL1, GRWD1, GSN, GSTK1, GSTM4, GTF3C5, GYPA, GYPB, GYPC, GYPE, GYS2, GZMA, GZMB, H1F0, H2AFV, H2AFX, HADHA, HADHB, HAGH, HAO1, HAX1, HBB, HBBP1, HBD, HBEGF, HBQ1, HBZ, HCCS, HCLS1, HDAC5, HDAC9, HDGF, HEBP1, HIF1A, HK2, HKDC1, HLA-E, HMBS, HMGB3, HMGCS2, HMGN2, HNF1A, HNF4A, HNRNPA1, HNRNPA2B1, HNRNPA3, HNRNPC, HNRNPD, HNRNPR, HNRNPU, HOMER1, HOXC10, HPCAL4, HR, HS2ST1, HSD11B1, HSD11B2, HSD17B10, HSD17B4, HSD17B6, HSP90AB1, HSPA13, HSPA5, HSPA9, HSPB8, HSPD1, HSPE1, HTATIP2, HTR1B, HTR1D, HTR7, HTRA2, ICAM1, ICAM4, ICOSLG, IDH1, IDH2, IDH3A, IDUA, IFI35, IFI44, IFIH1, IFIT2, IFIT3, IFITM1, IFNAR2, IGF1, IGFBP1, IGFBP2, IGFBP3, IGFBP4, IGSF1, IGSF6, IKZF1, IL11, IL12A, IL13, IL16, IL1A, IL1R1, IL1RL2, IL23A, IL27RA, IL2RB, IL2RG, IL4R, IL6, IL6ST, IL7, IL7R, ILF2, IMP4, INHBA, INPP4B, INSIG1, INSL5, IRF1, IRF7, IRF8, IRS2, IRS4, ISCA1, ISCU, ISG15, ISOC1, ITGA2, ITGA7, ITGAL, ITGAM, ITGB1, ITGB1BP2, ITGB2, ITGB4, ITGB5, ITIH1, ITIH3, ITIH4, ITPK1, JAK1, JAK2, JUN, JUNB, JUP, KARS, KAT2B, KCND1, KCNE2, KCNH1, KCNH2, KCNIP2, KCNN1, KCNQ2, KDELR3, KDM6B, KEL, KHNYN, KIF11, KIF20A, KIF20B, KIF2A, KIFC3, KIT, KLF1, KLF10, KLF2, KLF4, KLF5, KLF6, KLF9, KLHDC3, KLHDC8A, KLK1, KLK10, KLK11, KLK7, KLK8, KLRD1, KPNA2, KRT1, KRT13, KRT15, KRT19, KRT5, KYNU, LAMP2, LAMP3, LAPTM5, LARGE1, LAS1L, LBR, LCAT, LCP2, LDB3, LDHA, LDHB, LDHC, LDLR, LFNG, LGMN, LHX2, LIF, LIPE, LLGL2, LMO2, LPAR6, LPIN2, LRP1, LRP10, LRPPRC, LSP1, LSR, LY6E, LY96, LYN, LYPD3, MAD2L1, MAOA, MAP2K5, MAP3K6, MAP4K1, MAPK13, MAPT, MARCH2, MARCH6, MARCH8, MARCKS, MARK3, MAST3, MB, MBOAT2, MCM2, MCM4, MCM5, MCM6, MDH1, MDH2, MDK, ME1, MEF2C, MEF2D, MEFV, MFHAS1, MFSD6, MGMT, MGST3, MICB, MINPP1, MIOS, MKRN1, MMD, MMP10, MMP11, MMP12, MMP13, MMP14, MMP15, MMP9, MOSPD1, MPI, MPP1, MPP2, MRPL11, MRPL15, MRPL34, MRPL35, MRPL9, MRPS11, MRPS12, MRPS15, MRPS18B, MRPS22, MRPS30, MRPS31, MRTO4, MSX1, MTF2, MTHFR, MTMR10, MTRF1, MTRR, MTX2, MXD1, MXI1, MYB, MYBPC3, MYBPH, MYC, MYCN, MYF6, MYH1, MYH11, MYH4, MYH7, MYH8, MYH9, MYL1, MYL2, MYL4, MYL7, MYLK, MYO15A, MYO1C, MYOF, MYOG, MYOM2, MYOT, NAB2, NAP1L2, NARF, NASP, NAV2, NBL1, NCAM1, NCBP2, NCOA4, NCOR2, NCR1, NDUFA1, NDUFA2, NDUFA3, NDUFA4, NDUFA5, NDUFA6, NDUFA7, NDUFA8, NDUFA9, NDUFAB1, NDUFAF4, NDUFB1, NDUFB2, NDUFB4, NDUFB5, NDUFB6, NDUFB7, NDUFB8, NDUFC1, NDUFS1, NDUFS2, NDUFS3, NDUFS4, NDUFS6, NDUFS7, NDUFV2, NEDD4, NEK7, NFAT5, NFE2, NFE2L1, NFIL3, NFKB1, NFKB2, NFKBIA, NGB, NGF, NHP2, NINJ1, NLRP3, NME1, NMU, NOL3, NOLC1, NOP16, NOS1, NOTCH1, NOTCH2, NPM1, NPY1R, NQO1, NQO2, NR0B2, NR3C1, NR3C2, NR4A1, NR4A2, NR4A3, NR6A1, NRIP2, NRP1, NSDHL, NTF3, NTRK3, NUDT11, OAS1, OASL, OAT, OCEL1, ODC1, OLFM1, OLR1, OPA1, OPTN, OSBP2, OXT, P2RX6, P2RY4, P4HA1, P4HA2, PABPC4, PAOX, PAPD7, PAPSS2, PARP12, PARP2, PAX3, PAX4, PC, PCLO, PCNA, PCP4, PDAP1, PDCD1, PDE4B, PDE6B, PDHA1, PDHB, PDHX, PDK2, PDK4, PDLIM3, PDLIM5, PDLIM7, PDP1, PDS5B, PDZK1IP1, PECAM1, PECR, PERP, PES1, PEX1, PEX14, PEX16, PEX19, PEX26, PEX6, PEX7, PFKFB3, PGAM2, PGK1, PGLS, PGR, PHB, PHB2, PHF3, PHYH, PICALM, PIGQ, PIGR, PIK3CA, PIK3CG, PIK3R5, PINK1, PKP1, PKP3, PLA2G7, PLAC1, PLAG1, PLAT, PLAUR, PLEK, PLK4, PLOD1, PLPP3, PLSCR1, PLXNB1, PMPCA, PNRC1, POLD2, POLE3, POLR2F, POR, PPARD, PPAT, PPBP, PPFIA4, PPOX, PPP1R15A, PPP2CB, PPP2R5B, PPP4C, PQLC1, PRDX2, PRDX3, PRELID3B, PREP, PRKCD, PRKN, PRLR, PRNP, PROCR, PRPF31, PRPF4B, PRPS1, PSEN1, PSEN2, PSMA1, PSMA3, PSMA7, PSMB8, PSMB9, PSMD1, PSMD14, PSMD7, PSMD8, PSME1, PTBP2, PTCD2, PTGDS, PTGER3, PTGER4, PTGES, PTGES3, PTGFR, PTGIS, PTGS2, PTP4A3, PTPN6, PTPRC, PTPRD, PTPRE, PTPRJ, PTPRM, PTPRR, PWP1, PXMP2, PYCR1, PYGM, RAD21, RAD23A, RAF1, RAN, RANBP10, RARS, RB1, RBM38, RBM5, RBP4, RCAN1, RCE1, RCL1, REEP1, REL, RELA, RET, RETSAT, RGS11, RGS16, RHAG, RHOG, RHOT1, RIOK3, RIPK2, RNASEH2A, RNF123, RNF19B, RPE, RPL18, RPL22, RPL34, RPN1, RPS6, RPS6KA2, RPS6KA5, RRAGD, RRM1, RRP9, RSAD2, RSL1D1, RTP4, RUVBL2, RXRA, RXRG, RYR2, SAP30, SAT1, SATB1, SCARB1, SCD, SCG5, SCGB1A1, SCN10A, SCNN1A, SCUBE2, SDC2, SDC3, SDC4, SDCBP, SDHA, SDHB, SDHD, SEC14L1, SELENBP1, SELENOP, SERBP1, SERPINA1, SERPINA10, SERPINA5, SERPINB2, SERPINC1, SFN, SFPQ, SGCD, SH2B1, SHOX2, SIAH2, SIDT1, SIDT2, SIRT2, SLC10A3, SLC11A2, SLC12A3, SLC16A1, SLC16A7, SLC19A1, SLC1A4, SLC22A1, SLC22A18, SLC22A4, SLC23A2, SLC24A3, SLC25A11, SLC25A12, SLC25A13, SLC25A20, SLC25A23, SLC25A3, SLC25A37, SLC25A38, SLC25A5, SLC25A6, SLC26A2, SLC27A2, SLC29A1, SLC29A3, SLC30A3, SLC35A3, SLC35D1, SLC37A4, SLC38A3, SLC46A3, SLC4A1, SLC5A5, SLC6A3, SLC6A6, SLC6A8, SLC6A9, SLC7A11, SLC7A5, SLC9A3R1, SMAD3, SMARCC1, SMC2, SMC4, SMOX, SMPX, SMTN, SNAP25, SNCA, SNCB, SNN, SNRPA1, SNRPB2, SNRPD1, SNRPD2, SNRPD3, SNRPG, SOAT2, SOD1, SOD3, SORBS1, SORBS3, SOX10, SPAG4, SPARC, SPDEF, SPHK1, SPHK2, SPI1, SPOCK2, SPON1, SPOP, SPRR3, SPSB1, SPTA1, SPTAN1, SPTBN2, SQLE, SQSTM1, SRC, SRD5A3, SRI, SRM, SRSF1, SRSF10, SRSF3, SRSF7, SS18, SSB, SSTR4, ST5, STAG1, STAG3, STAT2, STAT5A, STC2, STIL, STIP1, STRN, SUCLA2, SUCLG1, SULT2B1, SUPV3L1, SURF1, SVIL, SYNCRIP, SYNJ1, SYNJ2, SYNPO, TAL1, TANK, TAP1, TAP2, TAPBP, TAT, TBRG4, TCAP, TCEA1, TCF7L1, TCHH, TCIRG1, TEAD4, TEX15, TFAP2B, TFAP2C, TFCP2L1, TFDP2, TFF1, TFF2, TFF3, TFPI, TFPI2, TFRC, TG, TGFA, TGFB1, TGFB2, TGM1, TH, THRB, TIMM10, TIMM13, TIMM17A, TIMM50, TIMM8B, TIMM9, TIMP1, TIMP2, TJP3, TLR2, TLR6, TLX1, TMBIM6, TMCC2, TMEM140, TMEM9B, TMPO, TMPRSS6, TNC, TNFAIP3, TNFRSF1A, TNFRSF1B, TNNC1, TNNC2, TNNI3, TNNT3, TNRC6B, TNS1, TOMM22, TOMM70, TOP1, TOP2A, TPBG, TPD52L1, TPI1, TPM2, TPSAB1, TPST1, TRA2B, TRAIP, TRAK2, TRIB1, TRIM10, TRIM14, TRIM29, TRIM58, TRIP10, TSC2, TSHB, TSPAN5, TSPAN7, TSTA3, TUBB2A, TUFM, TXN, TYR, TYRO3, UBAC1, UBE2L3, UBE2L6, UCP2, UGDH, UGP2, UGT2B17, UNC13B, UNG, UPB1, UQCR10, UQCR11, UQCRB, UQCRC1, UQCRC2, UQCRFS1, UQCRQ, UROD, UROS, USP14, VCAN, VCPIP1, VDAC1, VDAC2, VDAC3, VEGFA, VEZF1, VLDLR, VNN1, VPS50, WARS, WAS, WDR43, WFS1, WISP2, WNT16, WNT7A, WWTR1, XBP1, XK, XPNPEP1, XPO1, XPO7, XRCC3, YKT6, YPEL5, YTHDC1, ZBTB10, ZBTB16, ZFP36, ZFPM2, ZNF277, ZNF292, ZNF639"
"CW & AG",2,37,24.5461126393514,1.50736699303999,0.00733568313303991,"ABCB1, ADCY9, AK4, ARG2, ARHGEF12, ATXN1, BMP6, C1QA, C2, CASP4, CRAT, DLAT, EIF2AK1, EMP1, EPHB3, ETFDH, GPR19, GPRC5C, HBEGF, HIF1A, KRT1, LRP1, MAP2K5, MICB, MMP9, MYBPC3, NAP1L2, NQO2, PDHB, PTGDS, PTGER3, PTPRJ, RNF123, SCD, SLC7A5, UGDH, VNN1"
"TX",1,20,NA,NA,NA,"BLCAP, CAPRIN2, CD19, CD79A, CD79B, DEPDC5, DHX38, FCRL2, HLA-DOB, IGSF6, LIG1, MICAL3, MPV17, OSTF1, P2RX5, SPIB, TBRG4, TCTN1, USP21, VPREB3"
"TX & AG",2,0,0.354712610395251,0,1,""
"TX & CW",2,3,2.00376429708991,1.49718208092486,0.324126836139121,"CD79A, IGSF6, TBRG4"
"TX & CW & AG",3,0,0.0355380232218784,0,1,""
"SS",1,249,NA,NA,NA,"ABCA7, ABCC9, ACP5, ADARB2, ADK, ADM, ADRA1A, AKAP9, ALPP, AMFR, ANO1, AOC2, APMAP, AREL1, ARHGAP26, ARHGAP6, BAG5, BIN1, BLM, BRD3, BTNL3, C14ORF159, C1ORF115, CA8, CABIN1, CACNA1I, CALD1, CAMK2G, CASS4, CC2D1A, CD36, CD8A, CDC42SE1, CDKN1C, CDKN2C, CES1, CFAP45, CFH, CHCHD3, CHI3L1, CHPT1, CLEC5A, CNMD, COL4A3, COL5A3, CST7, CTDNEP1, CTSB, CXCL6, CYP27A1, CYP2D6, CYTH4, DAPK2, DENND3, DGKZ, DHFR, DHRS9, DNAI2, DPEP2, DPYD, DSP, DYNC1LI1, E2F8, E4F1, EIF2AK1, EIF5A, ELAVL2, EPHA5, EXT1, F2RL1, FAM53B, FCGBP, FCGR2B, FDXR, FGF13, FMNL1, FNBP1, FTH1, FZD2, GAB1, GBF1, GM2A, GPR39, GPX1, GRAMD1C, GSTM1, HAS2, HBE1, HERC2, HIST3H2A, HLA-DPB1, HLA-DQA1, HLA-DQB1, HLA-DRB4, HOXA1, HP, HRG, IFI44L, IFNAR2, IGF1R, IGFBP7, INHBB, IST1, ITGAX, ITGB3, ITGB4, JAM3, JARID2, KANK2, KIF11, KIF14, KLRG1, LAPTM4B, LAX1, LCP2, LHX2, LIMK2, LPAR1, LTBP1, LTK, LUNAR1, LZTS1, MAN2A2, MAOA, MAP2K4, MAP7, MAST3, MCTP1, MGAM, MICB, MINK1, MKNK1, MMP9, MOCS1, MPRIP, MPZL1, MTMR11, MYO3A, NCOA1, NCR3, NDN, NDUFB7, NEFH, NEK9, NF1, NFE2, NKX3-1, NR4A2, NRG1, OAS1, OCLN, OLFML2A, OSBPL2, PADI4, PAX4, PDE6C, PDLIM4, PEA15, PECAM1, PITPNA, PLEKHA8P1, PLPP3, PNKP, POLD1, POLM, POMZP3, PPFIA4, PPFIBP2, PPIH, PPM1E, PPP2R5A, PPP4R1, PRKD3, PRSS21, PSRC1, PSTPIP1, PTPN11, PTPRB, PTPRE, PTTG1, PYGM, PYHIN1, RAB11FIP5, RASA3, RBKS, RBM48, RBMXL2, RIPPLY3, RNF44, RNFT1, RPH3A, RPH3AL, RYR2, S1PR4, SDC2, SEC14L1, SERPINA7, SERPINB4, SERPINB9, SERPINE2, SERPINF1, SF3A1, SLC15A2, SLC22A18, SLC36A1, SLC38A10, SLC47A1, SLC6A6, SMARCA2, SMARCAL1, SPAG6, SPATA5L1, SPP1, SRPK1, SRR, ST20, STARD8, STAT1, SUPT3H, SUSD4, SUSD6, SYNCRIP, TAS2R9, TBCD, TLK1, TLR6, TMBIM6, TMEM176B, TNFAIP6, TNFRSF10B, TOP2A, TOP3A, TPST1, TRIM2, TUSC2, TWF2, TYK2, UBR2, UNC93A, UVRAG, VANGL1, VASH1, WDR41, YME1L1, ZFP64, ZFPM2, ZNF200, ZNF767P, ZSCAN18"
"SS & AG",2,29,4.41617199942088,6.56677321531022,6.60361820586013e-16,"AKAP9, CACNA1I, CFH, CHI3L1, DHRS9, DYNC1LI1, EIF2AK1, EIF5A, FCGBP, FGF13, GM2A, GRAMD1C, GSTM1, HERC2, HIST3H2A, HLA-DPB1, HLA-DRB4, LAPTM4B, MICB, MMP9, NEFH, PRKD3, PRSS21, RPH3AL, SERPINE2, STARD8, SUPT3H, SUSD4, TRIM2"
"SS & CW",2,43,24.9468654987694,1.72366343988671,0.00026454889078806,"ACP5, AMFR, ANO1, BIN1, CD36, CHPT1, CTSB, CXCL6, CYP27A1, DAPK2, EIF2AK1, EPHA5, FDXR, IFNAR2, ITGB4, KIF11, LCP2, LHX2, MAOA, MAST3, MICB, MMP9, NDUFB7, NFE2, NR4A2, OAS1, PAX4, PECAM1, PLPP3, PPFIA4, PTPRE, PYGM, RYR2, SDC2, SEC14L1, SLC22A18, SLC6A6, SYNCRIP, TLR6, TMBIM6, TOP2A, TPST1, ZFPM2"
