"Intersections","Degree","Observed.Overlap","Expected.Overlap","FE","P.value","Elements"
"JH",1,47,NA,NA,NA,"ABCB9, ACACB, ADAM22, ADD3-AS1, ADGRB3, ANKMY1, CCNB2, CD24, CD38, COCH, CORO2B, DHRS1, FCGR3B, GAD1, GART, GLA, HEXA-AS1, HLA-DOB, HLA-DPB1, HLA-DQA1, HLA-DRB6, HRASLS2, IKZF1, MFN2, MSLN, MXRA7, NUDT13, NUTF2, P2RX1, PCDH7, PLA2G4C, PROS1, RAB40A, RRN3P1, SCAND2P, SLC12A7, SLITRK5, SRR, SRSF6, SYNJ2, TCL1A, TCTN1, TNFRSF21, UTS2, WDR41, ZDHHC17, ZNF266"
"CW",1,1335,NA,NA,NA,"ABCB1, ABCB11, ABCB7, ABCB8, ABCC2, ABCD2, ABCE1, ABCG4, ABHD4, ABHD6, ABR, ACAA1, ACAA2, ACADS, ACADSB, ACAT1, ACOX2, ACP1, ACP2, ACRV1, ACSM1, ACTC1, ACTL7B, ACTN2, ACTN3, ACVR1B, ADAM8, ADAMDEC1, ADCY1, ADCY6, ADCYAP1, ADD3, ADGRA2, ADH5, ADH7, ADIPOQ, ADORA2B, ADRA2C, ADRM1, AEN, AFF1, AFG3L2, AGGF1, AGL, AGPAT3, AHCY, AHR, AIFM1, AIMP2, AK2, AKAP1, AKAP10, AKAP12, AKAP13, AKR1B10, AKR1C2, AKT2, AKT3, ALDH2, ALDH3A1, ALDH3B1, ALDH6A1, ALDH7A1, ALDOB, AMBN, AMD1, ANGPT1, ANKRD2, ANO1, ANXA10, ANXA9, AP2S1, AP3S1, APEX1, APOA4, APOC1, APOE, AQP3, AR, AREG, ARF6, ARFGEF1, ARG2, ARHGAP10, ARHGDIA, ARHGDIG, ARHGEF2, ARHGEF7, ARID4A, ARL3, ARPP19, ARPP21, ARTN, ASB13, ASB7, ATF3, ATG4B, ATP1B1, ATP2B4, ATP2C1, ATP4A, ATP5A1, ATP5D, ATP5G1, ATP5G2, ATP5G3, ATP5H, ATP5J, ATP5L, ATP6V0B, ATP6V0E1, ATP6V1F, ATP6V1G1, ATRX, AURKA, AURKB, AVL9, AXL, B4GALT1, B4GALT5, BAIAP2, BAK1, BARD1, BAX, BAZ2A, BCAT1, BCKDHA, BCL2A1, BCL6, BCR, BDH2, BDKRB1, BHLHE40, BID, BIK, BIN1, BMP2, BMPR1B, BMPR2, BRCA2, BRDT, BTC, BTG1, BTG2, BTG3, BUB1, BUB3, C1QA, C1QBP, C1R, C1S, C2, C3, C4BPB, C5, C9, CA12, CA2, CAB39L, CACNA1F, CACNA1H, CACNA2D2, CACNG1, CALB2, CALCB, CALCR, CALML5, CAMK1D, CAMK2B, CAPN9, CAPZB, CARTPT, CASP1, CASP10, CASP4, CASP6, CASP9, CASQ1, CASQ2, CAV3, CBL, CBX3, CCK, CCL13, CCL17, CCL2, CCL20, CCL22, CCL24, CCL25, CCL4, CCL7, CCNA1, CCNA2, CCND1, CCND2, CCNE1, CCR1, CCR8, CCRL2, CCT2, CCT3, CCT4, CD207, CD28, CD36, CD3G, CD4, CD40, CD40LG, CD44, CD46, CD47, CD48, CD55, CD59, CD69, CD7, CD79A, CD80, CDADC1, CDC25A, CDC25B, CDC27, CDC42BPA, CDC42EP1, CDC42EP2, CDC45, CDC5L, CDC6, CDC7, CDH13, CDH16, CDK1, CDK2, CDK4, CDK5R1, CDKAL1, CDKN2A, CDKN3, CEBPA, CEBPB, CEBPD, CELSR1, CELSR2, CENPF, CENPJ, CFB, CFLAR, CFP, CHKA, CHRNA5, CHRNG, CHST1, CIDEA, CKAP5, CKB, CKM, CLASP1, CLCN2, CLDN16, CLDN7, CLDN8, CLEC4A, CLEC5A, CLNS1A, CLPS, CLSTN3, CLTB, CLU, CMKLR1, CNN3, CNTFR, CNTRL, COL11A1, COL1A1, COL2A1, COL5A1, COL6A2, COMT, COPS5, COPZ2, COQ9, COX11, COX4I1, COX5A, COX5B, COX6A1, COX6C, COX7A2L, COX7B, COX7C, COX8A, CPA2, CPB1, CPE, CPEB3, CPM, CPT1A, CPT2, CR1, CRP, CRYAB, CSF1, CSF2, CSNK1D, CSRP3, CTCF, CTH, CTSB, CTSC, CTSD, CTSS, CTTN, CUL1, CUL3, CUL4A, CX3CL1, CXCL1, CXCL10, CXCL11, CXCL12, CXCL13, CXCL14, CXCL2, CXCL3, CXCL6, CYB5A, CYB5B, CYB5R3, CYC1, CYP11B2, CYP1A1, CYP26A1, CYP2C18, CYP2E1, CYR61, CYTH2, DARS, DBT, DCBLD2, DCC, DDAH2, DDIT4, DDX18, DECR1, DEK, DES, DHCR7, DHRS7, DHRS7B, DHX15, DLAT, DLG1, DLG4, DLG5, DLK2, DMD, DMRT1, DNAJB4, DNAJB9, DNAJC12, DNMBP, DOCK2, DOCK9, DRAM1, DST, DTNA, DTNB, DUSP1, DUSP2, DUSP6, DUT, DYNC1H1, E2F1, ECH1, ECHS1, ECI1, EDAR, EDN1, EDN2, EFHD1, EFNA1, EGF, EGFR, EGR1, EGR2, EHD1, EI24, EIF1, EIF1AX, EIF2S1, EIF3A, EIF3D, EIF3J, EIF4E, EIF4G3, ELF4, ELOVL5, EMP1, EMP2, ENG, ENTPD7, EPB41, EPCAM, EPHA2, EPHA5, EPHB2, EPHB3, EPRS, ERBB3, EREG, ERH, ESR1, ESRRA, ETFA, ETFB, ETFDH, ETS1, ETS2, ETV1, ETV5, EVI5, EWSR1, EXOSC7, EXT1, EZH2, EZR, F10, F2, F3, F5, F7, FABP4, FAM102A, FAM120A, FAM162A, FARP1, FASN, FBL, FBLN1, FBP1, FBXO4, FCER1G, FDX1, FDXR, FEN1, FETUB, FGF16, FGF18, FGF2, FGF22, FGF9, FGFR3, FH, FJX1, FKBP4, FLNA, FLNB, FLT4, FMO1, FOS, FOSB, FOSL1, FOSL2, FOXC1, FOXN3, FSCN1, FSHB, FST, FUT4, FUT8, FYB, FYN, FZD4, G0S2, G3BP1, GAD1, GADD45A, GADD45B, GADD45G, GAL, GAPDHS, GART, GATA3, GCNT1, GDNF, GEM, GEMIN4, GJA1, GJB3, GLCE, GLRX, GM2A, GMFB, GNA15, GNAI3, GNAO1, GNB2, GP1BA, GP2, GP9, GPC3, GPD2, GPR182, GPR19, GPR3, GPRC5B, GPRC5C, GPX2, GPX3, GPX4, GREB1, GRID2, GRM8, GRPEL1, GSN, GSPT1, GTF3C5, GYS2, GZMB, H2AFV, H2AFX, H2AFY2, H2AFZ, HADHA, HADHB, HAX1, HBEGF, HCLS1, HDAC2, HDAC6, HDAC9, HDDC2, HES1, HIF1A, HIST1H2BK, HKDC1, HLA-DMB, HLA-E, HMGCS2, HMOX1, HNF1A, HNF4A, HNRNPA1, HNRNPA2B1, HNRNPA3, HNRNPC, HNRNPD, HNRNPR, HNRNPU, HOMER1, HPCAL4, HPRT1, HRAS, HRC, HRH1, HS2ST1, HSD11B1, HSD11B2, HSD17B2, HSP90AB1, HSPA13, HSPA4L, HSPA5, HSPA9, HSPB2, HSPB8, HSPD1, HSPE1, HTR1B, HTR1D, HTR5A, HTR7, HTRA2, HUS1, HYAL2, IARS, ICAM1, ICOSLG, ID1, ID3, IDH1, IDH2, IDH3A, IDH3G, IDUA, IER3, IFIH1, IFNAR2, IFNG, IGFBP1, IGFBP2, IGFBP3, IGFBP4, IGSF1, IGSF6, IKZF1, IL10, IL11, IL12A, IL13, IL16, IL18, IL1A, IL1RL2, IL23A, IL27RA, IL2RA, IL2RB, IL2RG, IL4R, IL5, IL6, IL6ST, IL7, IL7R, ILF2, ILF3, IMPDH2, INCENP, INHBA, INPP4B, INSIG1, INSL5, IRF1, IRF7, IRF8, IRS2, IRS4, ISCU, ISG20L2, ITGA2, ITGAL, ITGAM, ITGB1BP2, ITGB2, ITGB4, ITGB8, ITIH1, ITIH3, ITIH5, ITPK1, ITSN1, JAG1, JAK1, JAK2, JUN, JUNB, JUP, KARS, KATNA1, KATNB1, KCND1, KCNE2, KCNH2, KCNMB2, KCNN1, KCNQ2, KDM6B, KIF11, KIF20A, KIF22, KIF2A, KIF2C, KIF3C, KIF4A, KIF5B, KIT, KLC1, KLF10, KLF2, KLF4, KLF6, KLF9, KLHDC3, KLHDC8A, KLK1, KLK10, KLK7, KLK8, KLKB1, KLRD1, KNL1, KPNA2, KPNB1, KRT1, KRT13, KRT15, KRT18, KRT19, KRT4, KRT5, KYNU, LAD1, LAMA4, LAMC1, LAMP2, LAPTM5, LCAT, LCP2, LDB3, LDLR, LFNG, LGMN, LHX2, LIF, LIG3, LIPE, LLGL1, LPAR1, LRP1, LSM2, LY86, LY96, LYN, LYPD3, MAD2L1, MAFF, MAGI2, MAOA, MAOB, MAP2K5, MAP4K1, MAP4K3, MAPK14, MAPKAPK3, MAPRE1, MAPT, MARCKS, MARCO, MARK4, MAST2, MAST3, MCL1, MCM2, MCM3, MCM4, MCM5, MCM6, MCM7, MDH1, MDH2, ME1, MEFV, MEIS1, MET, MFSD6, MGST3, MLF1, MLLT10, MLPH, MMD, MMP10, MMP11, MMP12, MMP13, MMP14, MMP15, MMP16, MMP9, MRPL11, MRPL15, MRPL23, MRPL34, MRPL35, MRPL9, MRPS11, MRPS12, MRPS15, MRPS18B, MRPS22, MRPS30, MSC, MSX1, MTCH2, MTHFR, MTMR10, MTRF1, MTX2, MXD1, MYB, MYC, MYCN, MYF6, MYH11, MYH2, MYH7, MYH9, MYL2, MYL6B, MYL7, MYO15A, MYO9B, MYOM1, MYOT, NAP1L1, NAP1L2, NAT1, NAV2, NBL1, NCAM1, NCBP2, NCL, NCOR2, NCR1, NDRG2, NDUFA4, NDUFA5, NDUFA6, NDUFA7, NDUFA8, NDUFA9, NDUFAB1, NDUFB2, NDUFB4, NDUFB5, NDUFB6, NDUFB7, NDUFB8, NDUFC1, NDUFS1, NDUFS2, NDUFS6, NDUFS7, NDUFV2, NEDD9, NEK2, NEK7, NF1, NFAT5, NFE2L2, NFIL3, NFKB1, NFKB2, NFKBIA, NFKBIE, NGB, NGF, NHP2, NINJ1, NLRP3, NME1, NOLC1, NOP16, NOS1, NOTCH2, NPHP1, NPHS1, NPM1, NPTXR, NPY1R, NQO1, NQO2, NR0B2, NR3C1, NR4A1, NR4A2, NR4A3, NR6A1, NRIP1, NRIP2, NRP1, NSD2, NTF3, NTRK3, NUDT11, NUDT15, NUMA1, NUP50, NUP98, NXT1, OAZ3, ODC1, OLFM1, OLFML3, OLR1, OPA1, OPHN1, OPN3, ORC2, ORC6, OXT, P2RX6, P2RY2, P2RY4, P4HA1, PAFAH1B1, PAPD7, PAPSS2, PARP2, PAX3, PAX4, PCDH7, PCDHB1, PCLO, PCNA, PCNT, PCP4, PDAP1, PDCD1, PDE4B, PDE6B, PDHA1, PDHB, PDHX, PDK2, PDK4, PDLIM3, PDLIM5, PDP1, PDPN, PECAM1, PEMT, PEX11A, PFKFB3, PFKL, PGK1, PGLS, PGR, PHB, PHB2, PHF3, PHLDA1, PHLDB1, PHYH, PIGR, PIK3CA, PIK3CG, PIK3R5, PKP1, PKP2, PLA2G7, PLAC1, PLAG1, PLAT, PLAU, PLAUR, PLEK, PLIN2, PLPP3, PLXNB2, PMAIP1, PMEPA1, PML, PMP22, PMPCA, PNMT, PNRC1, POLD2, POLE3, POLQ, POLR2F, POLR3K, PPAT, PPBP, PPFIA4, PPIA, PPM1A, PPM1B, PPM1G, PPP1R15A, PPP1R2, PPP4C, PQLC3, PRCP, PRDX3, PRDX4, PREB, PRELID3B, PRIM2, PRKCD, PRKN, PRLR, PRMT2, PROP1, PRPF4B, PRSS3, PSEN1, PSMA1, PSMA2, PSMA4, PSMA7, PSMC6, PSMD1, PSMD14, PSMD3, PTBP2, PTCD2, PTGER4, PTGES, PTGES3, PTGFR, PTGS2, PTP4A3, PTPN6, PTPRC, PTPRD, PTPRE, PTPRJ, PTPRR, PVR, PWP1, PXN, PYCR1, RAB3GAP1, RAD23B, RAF1, RAN, RANBP9, RAPGEFL1, RB1, RBM14, RBP4, RCAN1, RCE1, REEP5, REL, RELA, RELB, RET, RETN, RETREG1, RFC4, RGS11, RGS16, RHOBTB3, RHOD, RHOG, RHOT1, RHOT2, RIPK2, RNF19B, RNPS1, ROS1, RPL14, RPL18, RPL22, RPL34, RPL36, RPL39, RPL3L, RPL6, RPLP0, RPN1, RPS10, RPS3, RPS5, RPS6, RPS6KA2, RPS6KA5, RPS9, RRM1, RRP9, RSL1D1, RUVBL2, RYR2, S100A10, S100A12, S100A4, SAMM50, SAT1, SATB1, SCARB1, SCD, SCG5, SCGB1A1, SCN10A, SCNN1A, SCUBE2, SDC1, SDC4, SDHA, SDHB, SDHC, SDHD, SELENOP, SELENOW, SERBP1, SERPINA1, SERPINA10, SERPINA5, SERPINB2, SERPINB5, SERPINC1, SERPINE1, SFN, SFPQ, SHMT2, SHOX2, SIDT1, SIGMAR1, SIRT6, SIT1, SKIL, SLC11A2, SLC12A3, SLC19A2, SLC1A1, SLC1A4, SLC22A5, SLC25A1, SLC25A11, SLC25A12, SLC25A13, SLC25A20, SLC25A23, SLC25A3, SLC25A4, SLC25A5, SLC25A6, SLC26A2, SLC28A2, SLC29A1, SLC29A3, SLC2A6, SLC30A3, SLC35A3, SLC35B1, SLC37A1, SLC37A4, SLC38A3, SLC4A4, SLC5A5, SLC6A3, SLC7A1, SLC7A11, SLC9A3R1, SMAD3, SMARCC1, SMC1A, SMPX, SMTN, SMURF1, SNAP25, SNCB, SNCG, SNN, SNRPA, SNRPA1, SNRPD1, SNRPD2, SOCS1, SOCS3, SOCS5, SORBS1, SOX10, SOX3, SOX9, SPAG4, SPDEF, SPHK1, SPHK2, SPI1, SPINT2, SPOCK2, SPON1, SPR, SPRR3, SPSB1, SPTAN1, SPTBN1, SPTBN2, SQSTM1, SRC, SRI, SRM, SRSF1, SRSF10, SRSF3, SRSF7, SS18, SSB, SSBP1, SSR3, SSTR4, ST14, STAB1, STAG1, STAG3, STARD7, STAT5A, STC1, STC2, STIP1, STMN1, STRN, SUCLA2, SUCLG1, SUPV3L1, SURF1, SYNCRIP, SYNGR1, SYNGR2, TACC3, TACR3, TANK, TAOK2, TAP1, TAP2, TAPBP, TARDBP, TBC1D30, TBCD, TCAP, TCF7L1, TCHH, TCIRG1, TCN2, TEAD4, TEX15, TFAP2B, TFAP2C, TFDP1, TFF1, TFF2, TFF3, TFPI, TFPI2, TG, TGFA, TGFB1, TGFB2, TGFBRAP1, TGIF1, TGIF2, TGM1, THNSL2, THRB, THY1, TIMM10, TIMM13, TIMM17A, TIMM50, TIMM8B, TIMM9, TIMP1, TIMP2, TJP3, TLE3, TLR2, TLR3, TLR6, TLX1, TMEM97, TMPRSS6, TNC, TNF, TNFAIP2, TNFAIP3, TNFRSF1B, TNFSF15, TNFSF9, TNIP2, TNNC1, TNNI1, TNNI3, TNNT3, TNP1, TNPO2, TOB1, TOGARAM1, TOMM22, TOMM70, TOP1, TOP2A, TP63, TPD52, TPD52L1, TPI1, TRA2B, TRIAP1, TRIB1, TRIM29, TRIP10, TSHB, TSKU, TSPAN7, TTC39A, TUBB2A, TUBGCP2, TUBGCP3, TXN, TYMS, TYR, TYRO3, U2AF1, UBC, UBE2E1, UBE2N, UGCG, UGDH, UGT2B17, UNC13B, UPB1, UPF1, UQCR10, UQCR11, UQCRB, UQCRC1, UQCRC2, UQCRFS1, USP1, USP14, VBP1, VCPIP1, VDAC1, VDAC2, VEGFA, VIP, WAS, WISP2, WNT16, WNT7A, WWC1, WWTR1, XPO1, XPOT, XRCC3, XRCC6, YBX2, YKT6, YRDC, YTHDC1, YWHAE, YWHAQ, ZBTB10, ZBTB16, ZFP36, ZFPM2, ZNF277, ZNF292, ZNF639, ZNRF4, ZPBP"
"CW & JH",2,4,4.54213117127552,0.880643876006056,0.678249092110131,"GAD1, GART, IKZF1, PCDH7"
"SS",1,60,NA,NA,NA,"ABCA7, ACP5, ADIPOR2, AGA, ALPL, BLNK, C1ORF115, CACNA2D2, CD40, CD79B, CFD, CHI3L1, CHKB, CLEC5A, CLK2, CSTF2T, CYP27A1, DHX16, EIF2B5, FAM214B, GON4L, GSE1, GYPA, GYPE, HLA-DOB, HLA-DQA1, HLA-DQB1, HLA-DRB4, HLA-F, HUWE1, IGF1R, IGFBP7, IGHM, IL12RB2, JARID2, JUP, KDM5D, KLRG1, LCP2, LIMS2, LUNAR1, MAP7, MED25, MTCH1, MYOM2, NFYA, NSUN6, OXLD1, PDCD6, POLR1D, POMZP3, PPP6R2, S1PR4, SAV1, SORBS3, SRR, SUGP2, TCP11L1, TRIM3, ZNF211"
"SS & JH",2,3,0.2041407267989,14.6957446808511,0.00110264854799577,"HLA-DOB, HLA-DQA1, SRR"
"SS & CW",2,5,5.79846532503258,0.862297128589263,0.700689967552325,"CACNA2D2, CD40, CLEC5A, JUP, LCP2"
"SS & CW & JH",3,0,0.0197283820961728,0,1,""
"AY",1,52,NA,NA,NA,"ACTR1A, ADD3, ANKRD26, ANXA5, ATP6V0C, BCAP31, BIRC5, BLVRA, BTG2, CD59, CD99, CDH18, CNN3, COL6A3, CYP2A6, DAP, DCAF8, DNALI1, DPYSL2, EIF3A, EIF3F, FNTA, FXYD3, H2AFZ, HADH, HEXA, HNRNPU, JUN, KAT7, LAMC1, MGEA5, MLXIP, MPG, NCOR1, NOTCH2, PHB, PLAGL2, PPFIBP1, PPP2R1B, PSMB2, RPL24, RPN1, SF3A1, SH2B3, SNX19, SSR1, SSX1, SYNGR2, TMX2, TRAK1, TSTA3, UBE2L3"
"AY & JH",2,0,0.176921963225713,0,1,""
"AY & CW",2,13,5.02533661502823,2.58689138576779,0.00105984579795585,"ADD3, BTG2, CD59, CNN3, EIF3A, H2AFZ, HNRNPU, JUN, LAMC1, NOTCH2, PHB, RPN1, SYNGR2"
