"Intersections","Degree","Observed.Overlap","Expected.Overlap","FE","P.value","Elements"
"BK",1,1447,NA,NA,NA,"AAK1, ABAT, ABCA1, ABCD3, ABCE1, ABHD2, ABHD5, ABLIM1, ACADM, ACAP2, ACBD3, ACKR1, ACOX1, ACSL1, ACSL4, ACTR2, ACTR6, ADAM10, ADAM28, ADAM8, ADAM9, ADAMTS5, ADGRE1, ADGRE2, ADGRG1, ADGRG3, ADH5, ADIPOR1, ADM, ADORA3, AGA, AGAP1, AGFG1, AGL, AHSP, AIDA, AIF1, AIM2, AIMP1, AK1, AKAP10, AKAP11, AKAP12, AKAP13, AKAP7, AKAP9, AKR1C3, ALAS2, ALCAM, ALDH1A1, ALDH5A1, ALDH8A1, ALG13, ALOX12, ALOX15, ALPL, AMFR, AMIGO2, ANK1, ANK3, ANKRD11, ANKRD12, ANKRD36, ANKRD36B, ANKRD46, ANKRD55, ANP32E, ANPEP, ANXA1, ANXA3, ANXA6, AOC1, AOC3, AP1AR, AP2B1, AP3D1, AP5M1, APBB1IP, APOBEC3B, APP, AQP1, ARG1, ARGLU1, ARHGAP12, ARHGAP5, ARHGAP6, ARHGDIA, ARHGEF12, ARID1A, ARID4B, ARMCX5, ARMT1, ASAP1-IT1, ASCC2, ASF1A, ATAD2B, ATF1, ATF2, ATF6, ATG16L1, ATG5, ATP1B1, ATP2A3, ATP2B1, ATP2C1, ATP5C1, ATP5E, ATP5F1, ATP5J, ATP5L, ATP5O, ATP6V0E1, ATP6V1A, ATP6V1C1, ATP6V1D, ATP6V1E1, ATP6V1G1, ATP7A, ATP8A1, ATP8B1, ATRX, ATXN1, AUTS2, AZU1, B4GALT5, BAG1, BAG5, BANK1, BAX, BAZ2B, BBOF1, BBS10, BBX, BCL2A1, BCL2L1, BCL6, BCLAF1, BICD1, BIRC2, BLK, BLVRB, BMX, BNIP2, BNIP3L, BPGM, BPTF, BRD4, BRWD1, BSG, BST1, BTN3A2, BTNL3, BTNL8, C11ORF58, C12ORF29, C14ORF132, C14ORF2, C1D, C1QA, C4BPA, C6ORF120, CA1, CA2, CA4, CAAP1, CALD1, CALR, CAMKK2, CAMP, CAND1, CAPN7, CAPZA1, CAPZA2, CASD1, CASP1, CASP2, CASP3, CASP4, CASP5, CASP8AP2, CAT, CAVIN2, CCDC91, CCL4, CCNC, CCNG2, CCNT2, CCPG1, CCR1, CCR2, CCR3, CCT2, CD101, CD160, CD164, CD177, CD200, CD22, CD24, CD28, CD2AP, CD36, CD3D, CD3G, CD48, CD52, CD58, CD59, CD6, CD69, CD7, CD86, CD8A, CD8B, CD9, CDA, CDC14A, CDC27, CDC34, CDC42, CDK17, CDK5R1, CDKAL1, CDKN1C, CEACAM1, CEACAM21, CEACAM6, CEACAM8, CEBPZ, CEP350, CEP57, CEP68, CES1, CETN2, CETN3, CFD, CFDP1, CGRRF1, CHD9, CHI3L1, CHMP2B, CHMP5, CHPT1, CHUK, CKS2, CLC, CLCN4, CLEC2B, CLEC4A, CLEC4E, CLEC5A, CLIC1, CLIC3, CLK1, CLK4, CLN5, CLU, CMAHP, CMPK1, CNIH4, COCH, COL13A1, COL18A1, COL4A3, COL6A2, COL9A3, COMMD8, COPS2, COPS4, COX11, COX6C, COX7A2, COX7B, COX7C, CPA3, CPD, CPNE3, CPPED1, CR1, CRAT, CREBZF, CRIPT, CRISP3, CRISPLD2, CROCCP2, CRTAM, CRYZ, CSGALNACT1, CSGALNACT2, CSNK1G3, CST7, CSTA, CTBS, CTDSPL, CTNNAL1, CTSB, CTSG, CTSS, CTSW, CTSZ, CTTN, CUL5, CXCL5, CXCL8, CYBRD1, CYCS, CYP1B1, CYP3A5, CYP4F3, CYTH4, DAAM2, DAB2, DBI, DCAF16, DCK, DCP2, DCTN6, DCUN1D4, DDIT4, DDX11, DDX17, DDX24, DDX3Y, DDX58, DDX60, DEFA4, DEK, DENND4A, DESI2, DHX9, DICER1, DLG5, DMTN, DMXL1, DMXL2, DNAJA1, DNAJB14, DNAJB9, DNAJC15, DOCK4, DOCK5, DPM1, DPM2, DR1, DSC2, DSP, DUSP1, DYNLT1, DYNLT3, DYRK2, DYSF, EAPP, EDEM3, EFR3A, EID1, EIF1AX, EIF1AY, EIF2AK2, EIF2S1, EIF2S3, EIF3E, EIF4E, EIF4G1, EIF5A, ELANE, ELF1, EMC2, EMC3, EMG1, ENC1, ENDOD1, ENO1, ENOSF1, ENPP4, EOGT, EPB41, EPB41L3, EPB42, EPRS, ERAP1, ERAP2, ERBIN, ERC1, ERH, ERO1B, ERV3-2, ESF1, ETS1, EVI2A, EXOC5, EZR, F13A1, F2RL1, F5, FABP5, FADS2, FAM106A, FAM118A, FAM129A, FAM35A, FAM3C, FAM46C, FAM60A, FAM69A, FANCL, FAS, FAXDC2, FBLN5, FBXO28, FBXO3, FCAR, FCER1A, FCER2, FCGBP, FCGR1B, FCGR2B, FCGR3B, FCRL2, FECH, FEZ1, FFAR2, FGF13, FGL2, FHIT, FKBP1B, FKBP5, FKBP8, FLJ10038, FLOT1, FLOT2, FMR1, FN1, FNDC3A, FNDC3B, FOLR1, FOLR3, FPGT, FPR1, FPR2, FSTL1, FUBP1, FUT7, FXR1, FYB, G0S2, GADD45GIP1, GALNT1, GAS2L1, GAS7, GATA1, GATA2, GBP1, GCA, GCAT, GFI1B, GK, GK3P, GLG1, GLIPR1, GLRX, GLRX3, GLRX5, GLS, GLYR1, GM2A, GMFB, GMFG, GMPR, GNAI2, GNAI3, GNAS, GNG11, GNL3L, GNLY, GOLGA2, GOLGA8N, GPM6B, GPN3, GPR171, GPR18, GPR183, GPR65, GPX3, GRAMD1C, GRINA, GRK2, GSPT1, GSTM1, GSTM2, GSTM3, GSTM4, GSTT1, GTF2B, GTF2H5, GUCY1A3, GUCY1B3, GYPA, GYPB, GZMA, GZMB, GZMH, GZMK, HADHA, HAGH, HAL, HAT1, HAUS3, HBB, HBD, HBQ1, HBS1L, HBZ, HDAC9, HDC, HELLS, HERC4, HERC5, HEY1, HINT1, HIP1, HIPK1, HIPK3, HIRA, HIST1H2AE, HIST1H2BD, HIST1H4H, HLA-DOB, HLA-DPA1, HLA-DQA1, HLA-DQB1, HLA-DRB4, HLTF, HMBOX1, HMGB2, HMOX1, HNMT, HNRNPA0, HNRNPC, HNRNPH1, HNRNPL, HOPX, HP, HPGD, HPS1, HPSE, HS2ST1, HSDL2, HSF2, HSP90AA1, HSPA13, HSPA6, HSPE1, ICAM1, ICAM4, IDO1, IDS, IFI16, IFI27, IFI44, IFI44L, IFI6, IFIH1, IFIT1, IFIT2, IFIT3, IFIT5, IFNAR2, IFNGR1, IFRD1, IFT57, IGF1R, IGF2BP2, IGF2R, IGFBP7, IGH, IGHD, IGHM, IGK, IGKC, IGLC1, IGLJ3, IGLV1-44, IGSF6, IKZF1, IL15, IL18RAP, IL1R1, IL1R2, IL1RN, IL5RA, IL6R, IL6ST, ILF3, IMPA1, IPO5, IPO7, IQGAP1, IRAK3, ISCA1, ISG15, ITGA2B, ITGA4, ITGAV, ITGB1BP1, ITGB3, ITM2A, ITSN2, JAK2, JCHAIN, JMJD1C, JUP, KANK1, KANK2, KAT2B, KAT6A, KATNBL1, KAZN, KCNJ15, KCTD12, KDM4B, KDM5A, KDM5D, KDM6B, KEL, KIAA1324, KIN, KIR2DL1, KIR2DL2, KIR2DL3, KIR2DL4, KIR2DL5A, KIR2DS1, KIR2DS2, KIR2DS5, KIR3DL1, KIR3DL3, KIR3DS1, KLF1, KLF12, KLF13, KLF3-AS1, KLF9, KLHDC10, KLHL2, KLRB1, KLRC3, KLRD1, KLRF1, KLRG1, KMO, KMT2A, KPNA3, KRAS, KRCC1, KRT1, KRT23, KTN1, LAIR2, LAMP1, LAMP3, LAMTOR3, LANCL1, LAP3, LARP1, LCN2, LDHB, LEF1, LEMD3, LEPROT, LGALS2, LGALS8, LILRA2, LILRA3, LILRA5, LIMK2, LIN7A, LINC00339, LLGL1, LOC100127972, LOC100506282, LOC100996756, LOC389906, LPAR6, LRIF1, LRRC40, LRRC6, LRRN3, LSM3, LSM5, LTF, LTN1, LUC7L3, LY6E, LY96, LYPLA1, LYRM2, LYST, LZTFL1, MAD1L1, MAK, MAN1A1, MAP3K2, MAP3K7CL, MAP4K3, MAPK14, MAPKAPK2, MARCH1, MARCH2, MARCH6, MARCH7, MARCH8, MARCKS, MARK2, MBNL1, MBNL2, MBNL3, MBP, MCL1, MCTP1, MCTS1, MDFIC, MDH1, MDM1, MDM4, MED13L, MEF2C, MEGF9, METTL18, MEX3C, MFAP3L, MFN1, MFN2, MGAM, MGLL, MICAL2, MICU2, MIS18BP1, MKRN1, MMD, MME, MMP8, MMP9, MOB4, MORC3, MOSPD1, MPL, MPO, MPZL1, MRC2, MRPL13, MRPL15, MRPL3, MRPL42, MRPS17, MRPS28, MRPS31, MRPS33, MRS2, MS4A1, MS4A3, MS4A4A, MSH2, MTDH, MTF2, MTHFD2, MTMR1, MTMR3, MTUS1, MUC8, MX1, MXD1, MXI1, MXRA7, MYBL1, MYL4, MYL6, MYL9, MYLK, MYOF, MYOM2, MZB1, NAA15, NAB1, NADK, NAIP, NAMPT, NAP1L1, NAT1, NCAM1, NCAPG2, NCOA2, NCOA3, NDUFA1, NDUFA2, NDUFA3, NDUFA4, NDUFA5, NDUFA6, NDUFB2, NDUFB3, NDUFB7, NEBL, NEFL, NEK1, NEK7, NELL2, NEMF, NFAT5, NFATC1, NFATC3, NFIC, NFYB, NID1, NKG7, NKTR, NKX3-1, NLRP2, NLRP3, NME1, NOC3L, NOP10, NOV, NPIPB15, NPM1, NPRL3, NQO2, NR1D2, NRBF2, NRCAM, NRG1, NRGN, NRIP1, NSA2, NSG1, NT5E, NT5M, NUCB2, NUCKS1, NUDT3, NUMA1, NUP37, NUP58, NXT2, OAS1, OAS2, OAS3, OASL, OLFM1, OLFM4, OLIG2, OPA1, ORM1, OSBP2, OSBPL10, OSBPL8, OSTM1, OXR1, P2RY14, PADI2, PADI4, PAIP1, PALLD, PAM, PANK3, PAPOLA, PAQR3, PARVB, PASK, PATJ, PAX5, PBX1, PBX2, PCBP2, PCDH9, PCLAF, PCMT1, PCMTD2, PCNP, PCNX1, PCSK1N, PCYOX1, PDCD10, PDE3B, PDGFC, PDGFD, PDIA3, PDLIM7, PDPK1, PDZK1IP1, PELI1, PEX2, PEX3, PEX6, PF4, PF4V1, PFDN4, PFDN5, PGLYRP1, PHACTR2, PHF3, PHIP, PHTF2, PI3, PICALM, PIGC, PIGK, PIK3C2A, PIK3CB, PIK3CD, PIK3R1, PIP4K2A, PKN2, PLA2G4C, PLA2G7, PLCB1, PLEC, PLEK, PLEK2, PLEKHF2, PLSCR1, PLVAP, PLXDC1, PLXDC2, PLXNC1, PMAIP1, PMS1, PNISR, POLI, POLR2K, POMP, POMZP3, POT1, POU2AF1, PPA1, PPA2, PPAT, PPBP, PPIG, PPIP5K2, PPM1A, PPM1B, PPP1CB, PPP1R10, PPP1R12A, PPP1R2, PPP1R3D, PPP3R1, PPWD1, PRDX1, PRDX4, PRELID3B, PRF1, PRKACB, PRKAR1A, PRKAR2B, PRKCI, PRKD3, PRL, PRMT2, PRNP, PRPF39, PRRC2C, PRSS21, PRSS23, PSD4, PSIP1, PSMA2, PSMA3, PSMA4, PSMB1, PSMC6, PSMD10, PSME4, PSMF1, PTBP2, PTCH1, PTGDR, PTGDR2, PTGDS, PTGS1, PTGS2, PTP4A1, PTPN12, PTPN4, PTPRC, PTPRN2, PVALB, PXN, PYROXD1, QKI, QPCT, RAB2A, RAB33B, RAB35, RABGAP1L, RAD21, RAD23A, RALGAPA1, RALGDS, RANBP2, RANBP6, RAP1GAP, RAP2A, RAP2C, RAPGEF2, RASA2, RASA3, RASSF4, RB1, RB1CC1, RBM25, RBM3, RBM38, RBM5, RBX1, RCBTB1, RCN2, RECQL, REPS2, RERE, RETN, RETREG1, RFK, RIN3, RIOK2, RIOK3, RIT1, RLF, RNASE2, RNASE3, RNASE6, RNF10, RNF11, RNF123, RNF138, RNF14, RNF141, RNF24, RORA, RP2, RPA3, RPAP3, RPH3A, RPIA, RPL22, RPL24, RPL26L1, RPL27, RPL30, RPL31, RPL34, RPL35, RPL35A, RPL36AL, RPL37, RPL37A, RPL39, RPL41, RPL7, RPL9, RPLP0, RPS10, RPS15A, RPS17, RPS18, RPS21, RPS23, RPS24, RPS25, RPS27, RPS27A, RPS27L, RPS29, RPS4Y1, RPS7, RRAS2, RRM2, RRN3P1, RSAD2, RSBN1, RSL24D1, RSRC1, RTP4, RUNDC3A, RWDD1, RXRA, RXRB, RYBP, S100A12, S100A8, S100B, S100P, S1PR5, SACM1L, SACS, SAFB, SAMD9, SAMSN1, SAR1A, SAR1B, SART3, SBNO2, SC5D, SCAF11, SCAMP1, SCD5, SCML1, SCN3A, SDHD, SEC14L1, SEC23A, SEC24A, SEC24D, SEC63, SECISBP2L, SELENBP1, SELENOF, SELENOT, SENP6, SENP7, SERP1, SERPINE2, SERPING1, SF1, SF3B1, SGMS1, SGPP1, SH2D1A, SH2D3C, SH3GL3, SH3YL1, SHTN1, SIAH2, SIGLEC1, SIGLEC5, SIGLEC8, SIRT1, SKIV2L2, SLC11A1, SLC12A7, SLC14A1, SLC16A7, SLC19A2, SLC22A4, SLC25A24, SLC25A32, SLC25A36, SLC25A37, SLC25A46, SLC29A1, SLC2A3, SLC30A1, SLC30A6, SLC38A1, SLC39A8, SLC48A1, SLC4A1, SLC4A7, SLC5A3, SLC6A6, SLC6A8, SLC7A5, SLCO4C1, SLIRP, SLK, SLPI, SMA4, SMAD1, SMARCA2, SMARCA5, SMARCC1, SMC3, SMC4, SMC5, SMCHD1, SMIM8, SMOX, SMPD3, SNAP23, SNCA, SNORA21, SNRPD1, SNRPD2, SNRPE, SNRPG, SNX10, SNX2, SNX29P2, SNX4, SOCS5, SON, SOS1, SOS2, SOX15, SP3, SPAG1, SPAG9, SPARC, SPATA20, SPATS2L, SPCS3, SPDYE2, SPEN, SPI1, SPIN1, SPP1, SPTB, SPTSSA, SREK1, SREK1IP1, SRGN, SRI, SRP14, SRP19, SRP72, SRP9, SRPRA, SRRD, SRRM2, SRSF10, SRSF11, SRSF3, SRSF6, SRSF7, SS18, SSB, SSBP3, ST20, ST6GAL1, ST6GALNAC4, STAG2, STAM2, STAP1, STEAP4, STIP1, STK16, STK17B, STK24, STK26, STK4, STRN3, STX11, STX3, STXBP3, SUB1, SUCLA2, SUCO, SUPT4H1, SUZ12, SWAP70, SYNCRIP, SYNJ2, TACSTD2, TAF7, TAGLN, TAGLN2, TAL1, TANK, TAP2, TAX1BP1, TBC1D15, TBC1D22B, TBL1X, TBL1XR1, TBX21, TCF25, TCF4, TCF7L2, TCFL5, TCL1A, TCN1, TESC, TFAM, TFEC, TGFA, TGFB1I1, TGFBR3, TGIF2, TGM2, TGM3, THAP12, THBD, THBS1, THOC2, THUMPD1, TIMM8A, TKTL1, TLK1, TLN1, TLR4, TMCO1, TMED2, TMED5, TMEM106B, TMEM123, TMEM126B, TMEM135, TMEM158, TMEM168, TMEM176A, TMEM176B, TMEM258, TMEM259, TMEM267, TMEM50B, TMF1, TMOD1, TMPO, TMX1, TNFAIP6, TNFRSF10C, TNFRSF17, TNFRSF9, TNFSF10, TNKS2, TNPO1, TNS1, TOB2, TOGARAM1, TOP1, TOX4, TPD52, TPGS2, TPM1, TPM4, TPP2, TPR, TRA2A, TRAK2, TRAM1, TRAPPC13, TRAT1, TREM1, TRIM14, TRIM23, TRIM58, TRMT11, TRMT13, TRRAP, TSC22D3, TSNAX, TSPAN13, TSPAN5, TTBK2, TTC33, TTC37, TUBB1, TUBB2A, TUBB3, TUBB6, TUBBP5, TVP23B, TWF1, TXLNGY, TXN, TXNDC9, TXNIP, TYMP, U2SURP, UBA3, UBA6, UBE2D1, UBE2E1, UBE2H, UBE2N, UBE2W, UBE3A, UBL3, UBN1, UBXN4, UCHL3, UFL1, UGCG, UQCR11, UQCRB, UQCRQ, USO1, USP1, USP18, USP32P2, USP34, USP9Y, UTS2, VAMP7, VASH1, VBP1, VCAN, VEGFA, VNN1, VNN2, VPREB3, VPS13A, VRK1, WAPL, WASHC4, WASL, WDFY3, WDR1, WLS, WNK1, WRB, WSB1, XAF1, XCL1, XIST, XK, YBX3, YME1L1, YOD1, YPEL5, YTHDF3, YWHAE, ZBED5, ZBTB11, ZBTB16, ZBTB38, ZC3H15, ZCCHC10, ZCCHC2, ZDHHC17, ZEB1, ZEB2, ZER1, ZFAND1, ZFP36L1, ZFP36L2, ZFYVE16, ZMYM1, ZMYM2, ZNF107, ZNF117, ZNF12, ZNF22, ZNF264, ZNF267, ZNF277, ZNF292, ZNF302, ZNF432, ZNF518A, ZNF529, ZNF652, ZNF654, ZNF83, ZNF91, ZNHIT3, ZZZ3"
"JH",1,227,NA,NA,NA,"ABCA7, ABCB9, ADAM28, ADH7, AGTR1, ALAS2, ALDH9A1, ANGPT1, AOC1, APPL1, ARHGAP28, ATF6, ATP2B2, ATP2B3, ATP7A, AUTS2, B3GAT1, B4GALT1, BMPR2, BRINP2, BTNL8, BUB1, C1ORF115, C1ORF54, C2CD2L, C7ORF49, CAMK2G, CAPRIN2, CCND2, CCND3, CD24, CD40LG, CD93, CDC42EP4, CENPJ, CEP290, CFD, CFH, CGGBP1, CHI3L1, CLN6, COA4, COCH, CORO2B, CRISPLD2, CROCCP2, CTAG2, CTSB, CXCL11, CXCR6, CYP2C8, CYTL1, DACT1, DAPK1, DARS2, DCPS, DCTD, DDX17, DENND1A, DHRS1, DHRS2, DIAPH3, DIXDC1, DSG1, DTX4, DUS2, DYNC1LI1, E2F8, ECHDC3, EFCAB14, EFHC2, EHHADH, EIF5A, EMP1, ENC1, EPB41L2, ERAP1, ERMAP, EXOSC7, EXPH5, F7, FAM118A, FAM206A, FARS2, FBLN5, FBXO41, FBXO9, FCGR3B, FCRL2, FKBP9, FN1, FST, GAD1, GLA, GLB1L, GM2A, GPX3, GSTM4, H1F0, H2AFX, HELLS, HES1, HLA-DOB, HLA-DPB1, HLA-DQA1, HLA-DQB1, HOXA1, HOXB2, HSD3B2, HSPA2, HYAL3, ICAM4, IGFBP2, IKZF1, IL12B, IL12RB2, IL9R, IQCK, IRF5, ISL1, ITM2A, KALRN, KAT8, KCNH2, KCNV1, KCTD2, KIR2DS4, KLHL36, LAPTM4B, LDB2, LDHC, LIPA, LPIN1, LYVE1, LZTS1, MAK, MAU2, MBOAT7, MCM10, MCTP1, MPZL2, MTHFR, MUC8, MXRA7, MYH13, MYO5C, MYT1, NAG18, NCAPG2, NCOA3, NKX3-1, NLE1, NPC1, NPDC1, NPIPB15, NUCKS1, NUDT13, OCLN, OLFM1, PCDHA9, PDE1A, PDGFRB, PDLIM3, PLA2G16, PLA2G4C, PLBD1, POLR2C, POLR2D, PON2, POU4F1, PRRX1, PRUNE2, PSAT1, QKI, RAB15, RAC1, RCL1, RET, RETREG2, RFWD3, RPE65, RPS28, SCAND2P, SDHD, SERPINB13, SERPINB9, SLC12A7, SLCO1B1, SMARCD2, SOCS2, SOWAHC, SPP1, SRPX2, SRR, SRSF11, SYNJ2, TARP, TCF7L2, TCL1A, TCTN1, TEX11, THNSL2, TM7SF3, TMEM97, TNFRSF21, TOX3, TPM2, TRIM2, TSHR, TTC12, TUBB2A, TUFM, TUSC3, USP34, UTS2, VAMP4, VANGL1, WDR41, WDR60, YES1, ZNF155, ZNF266, ZNF280A, ZNF37BP, ZNF532, ZNF814, ZNF835"
"JH & BK",2,55,23.777978862024,2.31306455099264,1.75892716736134e-09,"ADAM28, ALAS2, AOC1, ATF6, ATP7A, AUTS2, BTNL8, CD24, CFD, CHI3L1, COCH, CRISPLD2, CROCCP2, CTSB, DDX17, EIF5A, ENC1, ERAP1, FAM118A, FBLN5, FCGR3B, FCRL2, FN1, GM2A, GPX3, GSTM4, HELLS, HLA-DOB, HLA-DQA1, HLA-DQB1, ICAM4, IKZF1, ITM2A, MAK, MCTP1, MUC8, MXRA7, NCAPG2, NCOA3, NKX3-1, NPIPB15, NUCKS1, OLFM1, PLA2G4C, QKI, SDHD, SLC12A7, SPP1, SRSF11, SYNJ2, TCF7L2, TCL1A, TUBB2A, USP34, UTS2"
"JD",1,8,NA,NA,NA,"C3ORF14, FBXL5, GPR4, HAAO, HPS4, IFFO1, INSL3, OFD1"
"JD & BK",2,0,0.837990444476618,0,1,""
"JD & JH",2,0,0.131460836832199,0,1,""
"JD & JH & BK",3,0,0.0137703656360353,0,1,""
"ER",1,212,NA,NA,NA,"ACBD3, AIM2, ALAS2, AMFR, ANK1, ANKRD12, ANPEP, AP2B1, AP3D1, ARHGEF10, ATP1B1, ATP5E, ATP5L, ATP5O, ATP6V0E1, ATP6V1D, ATP7A, ATRX, AZU1, BAZ2B, BBOF1, BCL6, BCLAF1, BICD2, BMX, BPGM, BUB1, C1QA, C3ORF14, CA1, CCNB1, CCNB2, CD24, CDC42, CDK5R1, CDKN1C, CEACAM1, CHI3L1, CPA3, CPD, CSGALNACT1, CYP4F3, DEFA4, DNAJC15, DOCK4, DYSF, EIF3E, EIF5A, ELANE, EPRS, ERAP2, F2RL1, FAM8A1, FAR2, FCGR1B, FECH, FHIT, FOLR1, FOLR3, FUS, FXR1, GATA2, GATA3, GBP1, GNAS, GPM6B, GRAMD1C, GSAP, GSPT1, GTF2H5, GYPA, GYPB, HBD, HDC, HERC2, HIRA, HLA-DPA1, HLA-DQA1, HLA-DQB1, HLA-DRB4, HMBOX1, HSP90AA1, IFI16, IGF2BP2, IL18RAP, IQGAP1, ISCA1, KANK2, KAZN, KDSR, KIAA0319L, KIAA1324, KLF12, KMT2A, KPNA3, KRT1, KTN1, LAIR2, LAMP2, LDHB, LGALS2, LILRB5, LINC00342, LOC100127972, LSM5, LUC7L3, MBNL3, MCM4, MCTP2, MICB, MLEC, MMP9, MT1F, MYO5C, N4BP2L2, NCAPG2, NCOA3, NDUFA1, NDUFA6, NEFL, NME8, NOP10, NPM1, NSA2, NUMA1, NUSAP1, OSBPL1A, PADI4, PFKFB2, PHACTR2, PHF3, PHLDA2, PHLPP1, PI3, PIK3R1, PIP4K2A, POMP, PPA1, PPIG, PPP1R3D, PRMT2, PSMA2, PTGS2, PTPN12, PTPN4, PTPRC, RABGAP1L, RIOK3, RNF111, RNF24, RORA, RPL27, RPL31, RPL36AL, RPL37, RPS23, RPS25, RPS27A, RRM2, RTP4, RWDD1, S100A8, S100B, SCAF11, SERPINE2, SF1, SLAMF7, SLC14A1, SLC38A1, SLC4A1, SLC8A2, SLIRP, SNCA, SNRPD1, SNRPE, SP100, SP110, SPEN, SRP19, SRSF6, SSB, ST3GAL6, SYNCRIP, SYNJ2, TACSTD2, TCL1A, TF, TGM2, THOC2, TMEM258, TMOD1, TNFSF10, TNS1, TOP1, TRIM14, TRIM58, TSPAN5, TXN, TYMS, UBXN4, USP10, USP32P2, USP33, UTS2, VCAN, WLS, WNK1, WSB1, XAF1, ZBTB38, ZC3H15, ZNF200"
"ER & BK",2,171,22.2067467786304,7.70036249364332,4.74625558496333e-130,"ACBD3, AIM2, ALAS2, AMFR, ANK1, ANKRD12, ANPEP, AP2B1, AP3D1, ATP1B1, ATP5E, ATP5L, ATP5O, ATP6V0E1, ATP6V1D, ATP7A, ATRX, AZU1, BAZ2B, BBOF1, BCL6, BCLAF1, BMX, BPGM, C1QA, CA1, CD24, CDC42, CDK5R1, CDKN1C, CEACAM1, CHI3L1, CPA3, CPD, CSGALNACT1, CYP4F3, DEFA4, DNAJC15, DOCK4, DYSF, EIF3E, EIF5A, ELANE, EPRS, ERAP2, F2RL1, FCGR1B, FECH, FHIT, FOLR1, FOLR3, FXR1, GATA2, GBP1, GNAS, GPM6B, GRAMD1C, GSPT1, GTF2H5, GYPA, GYPB, HBD, HDC, HIRA, HLA-DPA1, HLA-DQA1, HLA-DQB1, HLA-DRB4, HMBOX1, HSP90AA1, IFI16, IGF2BP2, IL18RAP, IQGAP1, ISCA1, KANK2, KAZN, KIAA1324, KLF12, KMT2A, KPNA3, KRT1, KTN1, LAIR2, LDHB, LGALS2, LOC100127972, LSM5, LUC7L3, MBNL3, MMP9, NCAPG2, NCOA3, NDUFA1, NDUFA6, NEFL, NOP10, NPM1, NSA2, NUMA1, PADI4, PHACTR2, PHF3, PI3, PIK3R1, PIP4K2A, POMP, PPA1, PPIG, PPP1R3D, PRMT2, PSMA2, PTGS2, PTPN12, PTPN4, PTPRC, RABGAP1L, RIOK3, RNF24, RORA, RPL27, RPL31, RPL36AL, RPL37, RPS23, RPS25, RPS27A, RRM2, RTP4, RWDD1, S100A8, S100B, SCAF11, SERPINE2, SF1, SLC14A1, SLC38A1, SLC4A1, SLIRP, SNCA, SNRPD1, SNRPE, SPEN, SRP19, SRSF6, SSB, SYNCRIP, SYNJ2, TACSTD2, TCL1A, TGM2, THOC2, TMEM258, TMOD1, TNFSF10, TNS1, TOP1, TRIM14, TRIM58, TSPAN5, TXN, UBXN4, USP32P2, UTS2, VCAN, WLS, WNK1, WSB1, XAF1, ZBTB38, ZC3H15"
"ER & JH",2,14,3.48371217605328,4.01870168730779,1.0861502569083e-05,"ALAS2, ATP7A, BUB1, CD24, CHI3L1, EIF5A, HLA-DQA1, HLA-DQB1, MYO5C, NCAPG2, NCOA3, SYNJ2, TCL1A, UTS2"
